pair_id,environment,condition,checkpoint,observer,p_a_given_a,p_a_given_b,p_b_given_a,p_b_given_b,direction_a,direction_b,crossover,correct,resolved,survival
fresh-3-5c6613e295e01df1,launch1,midpoint,8,terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,opposite_history,16,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,opposite_history,16,terminal,0.0,0.09375,0.0,0.0,-0.09375,0.0,-0.09375,0.0,0.046875,1.0
fresh-3-5c6613e295e01df1,launch1,opposite_history,32,primary,0.0,0.015625,0.0,0.0,-0.015625,0.0,-0.015625,0.0,0.0078125,1.0
fresh-3-5c6613e295e01df1,launch1,opposite_history,32,terminal,0.0,0.0625,0.0,0.0,-0.0625,0.0,-0.0625,0.0,0.03125,1.0
fresh-3-5c6613e295e01df1,launch1,opposite_history,64,primary,0.21875,0.8125,0.515625,0.0625,-0.59375,-0.453125,-0.59375,0.140625,0.8046875,1.0
fresh-3-5c6613e295e01df1,launch1,opposite_history,64,terminal,0.125,0.6875,0.546875,0.0625,-0.5625,-0.484375,-0.5625,0.09375,0.7109375,1.0
fresh-3-5c6613e295e01df1,launch1,opposite_history,8,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,opposite_history,8,terminal,0.0,0.09375,0.015625,0.0,-0.09375,-0.015625,-0.09375,0.0,0.0546875,1.0
fresh-3-5c6613e295e01df1,launch1,read_disabled,16,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,read_disabled,16,terminal,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch1,read_disabled,32,primary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch1,read_disabled,32,terminal,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch1,read_disabled,64,primary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch1,read_disabled,64,terminal,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch1,read_disabled,8,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,read_disabled,8,terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,shuffle,16,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,shuffle,16,terminal,0.015625,0.0,0.0,0.0,0.015625,0.0,0.0,0.0078125,0.0078125,1.0
fresh-3-5c6613e295e01df1,launch1,shuffle,32,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,shuffle,32,terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,shuffle,64,primary,0.5625,0.546875,0.234375,0.21875,0.015625,-0.015625,-0.015625,0.390625,0.78125,1.0
fresh-3-5c6613e295e01df1,launch1,shuffle,64,terminal,0.4375,0.328125,0.234375,0.28125,0.109375,0.046875,0.046875,0.359375,0.640625,1.0
fresh-3-5c6613e295e01df1,launch1,shuffle,8,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,shuffle,8,terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,unrelated_pair,16,primary,0.921875,0.0,0.0,0.28125,0.921875,0.28125,0.28125,0.6015625,0.6015625,1.0
fresh-3-5c6613e295e01df1,launch1,unrelated_pair,16,terminal,0.984375,0.0,0.0,0.421875,0.984375,0.421875,0.421875,0.703125,0.703125,1.0
fresh-3-5c6613e295e01df1,launch1,unrelated_pair,32,primary,1.0,0.0,0.0,0.578125,1.0,0.578125,0.578125,0.7890625,0.7890625,1.0
fresh-3-5c6613e295e01df1,launch1,unrelated_pair,32,terminal,1.0,0.0,0.0,0.546875,1.0,0.546875,0.546875,0.7734375,0.7734375,1.0
fresh-3-5c6613e295e01df1,launch1,unrelated_pair,64,primary,1.0,0.0,0.0,0.859375,1.0,0.859375,0.859375,0.9296875,0.9296875,1.0
fresh-3-5c6613e295e01df1,launch1,unrelated_pair,64,terminal,1.0,0.0,0.0,0.859375,1.0,0.859375,0.859375,0.9296875,0.9296875,1.0
fresh-3-5c6613e295e01df1,launch1,unrelated_pair,8,primary,0.09375,0.0,0.0,0.0,0.09375,0.0,0.0,0.046875,0.046875,1.0
fresh-3-5c6613e295e01df1,launch1,unrelated_pair,8,terminal,0.75,0.0,0.0,0.1875,0.75,0.1875,0.1875,0.46875,0.46875,1.0
fresh-3-5c6613e295e01df1,launch1,zero,16,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,zero,16,terminal,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch1,zero,32,primary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch1,zero,32,terminal,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch1,zero,64,primary,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch1,zero,64,terminal,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0
fresh-3-5c6613e295e01df1,launch1,zero,8,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch1,zero,8,terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch2,intact,16,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch2,intact,16,terminal,0.140625,0.0,0.0,0.0,0.140625,0.0,0.0,0.0703125,0.0703125,1.0
fresh-3-5c6613e295e01df1,launch2,intact,32,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch2,intact,32,terminal,0.078125,0.0,0.0,0.0,0.078125,0.0,0.0,0.0390625,0.0390625,1.0
fresh-3-5c6613e295e01df1,launch2,intact,64,primary,0.796875,0.046875,0.078125,0.703125,0.75,0.625,0.625,0.75,0.8125,1.0
fresh-3-5c6613e295e01df1,launch2,intact,64,terminal,0.75,0.046875,0.125,0.734375,0.703125,0.609375,0.609375,0.7421875,0.828125,1.0
fresh-3-5c6613e295e01df1,launch2,intact,8,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch2,intact,8,terminal,0.1875,0.0,0.0,0.0,0.1875,0.0,0.0,0.09375,0.09375,1.0
fresh-3-5c6613e295e01df1,launch2,matched_random,16,primary,0.015625,0.0,0.0,0.0,0.015625,0.0,0.0,0.0078125,0.0078125,1.0
fresh-3-5c6613e295e01df1,launch2,matched_random,16,terminal,0.015625,0.0,0.0,0.0,0.015625,0.0,0.0,0.0078125,0.0078125,1.0
fresh-3-5c6613e295e01df1,launch2,matched_random,32,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fresh-3-5c6613e295e01df1,launch2,matched_random,32,terminal,0.0625,0.0,0.015625,0.0,0.0625,-0.015625,-0.015625,0.03125,0.0390625,1.0
fresh-3-5c6613e295e01df1,launch2,matched_random,64,primary,0.53125,0.390625,0.25,0.265625,0.140625,0.015625,0.015625,0.3984375,0.71875,1.0
