definition_index,definition_key,inheritance_threshold_strict,horizon_fissions,renewal_run_length,registered_baseline,candidate,states,branches,events,event_positive_matrices,prevalence,prevalence_ci95_lower,prevalence_ci95_upper,transition_region_states,branch_half_reliability,branch_half_reliability_ci95_lower,branch_half_reliability_ci95_upper,centered_branch_half_reliability,centered_branch_half_reliability_ci95_lower,centered_branch_half_reliability_ci95_upper,log_loss_baseline_A,log_loss_added_A,log_loss_gain_A,log_loss_gain_A_ci95_lower,log_loss_gain_A_ci95_upper,q_brier_gain_A,centered_spearman_baseline_A,centered_spearman_added_A,centered_spearman_gain_A,log_loss_baseline_B,log_loss_added_B,log_loss_gain_B,log_loss_gain_B_ci95_lower,log_loss_gain_B_ci95_upper,q_brier_gain_B,centered_spearman_baseline_B,centered_spearman_added_B,centered_spearman_gain_B
55,h0.95_f12_r3,0.95,12,3,False,02,1000,64000,28335,197,0.442734375,0.4101265625,0.47142265624999996,872,0.8756141601565378,0.8435787233470166,0.9029749871277635,0.5278964303049061,0.46419079907745814,0.5875395845236925,0.8252404643807059,0.8068427518981294,0.01839771248257649,0.003997866275593301,0.033473894069453135,0.009383952696446457,0.18949418163908835,0.314335249342034,0.12484106770294565,0.8200452919756404,0.8020191139719086,0.01802617800373174,0.003004229827739602,0.03449776782054836,0.008757633327713829,0.22133282781812752,0.3429009906289181,0.12156816281079058
56,h0.95_f12_r4,0.95,12,4,False,02,1000,64000,20391,197,0.318609375,0.29486796875,0.34139140625,806,0.8652669374016456,0.8283830200414057,0.8899925931738492,0.5081332528210665,0.43793290931440226,0.5742644607854598,0.7625013105150609,0.74669997537787,0.01580133513719084,0.003052970831054011,0.02996247070939328,0.006150478889244235,0.16918236115581403,0.325280093021299,0.15609773186548498,0.7615142411652622,0.7451953150217763,0.016318926143485957,0.0024017566583916295,0.03006940830312688,0.006139721179888605,0.2079891074773374,0.33822410080554965,0.13023499332821226
57,h0.95_f16_r2,0.95,16,2,False,02,1000,64000,44305,199,0.692265625,0.6509710937499998,0.73014140625,646,0.8606843349683432,0.8167999270692365,0.8949497800460068,0.4148229468702779,0.34044673394094677,0.4919695687258679,0.9434082780843313,0.9324925587884321,0.010915719295899184,-0.009759987374425046,0.03332245898932778,0.012125586658920051,0.17480592370948006,0.2618025441721206,0.08699662046264056,0.9410280094882887,0.9298111563548189,0.011216853133469762,-0.013955696946498147,0.03171780665897256,0.011804344803691719,0.20287722387463156,0.2858398531458113,0.08296262927117973
58,h0.95_f16_r3,0.95,16,3,False,02,1000,64000,36151,198,0.564859375,0.525578125,0.6002792968749999,854,0.8773444935771874,0.8416675617443139,0.9030666051431805,0.4554206325919432,0.3853310035185883,0.5318013132433133,0.9117398117501225,0.9010573944726277,0.01068241727749486,-0.009735124314086362,0.028153451074564066,0.010097713904036354,0.16983335225071833,0.25329110545592,0.08345775320520166,0.9070283655015148,0.8950161310772499,0.012012234424264912,-0.008634101539271017,0.03054168047332487,0.010084431084390472,0.16835075545362024,0.2825269738743542,0.11417621842073397
59,h0.95_f16_r4,0.95,16,4,False,02,1000,64000,28178,197,0.44028125,0.40568320312500006,0.468557421875,850,0.8900489725488304,0.8604889059168095,0.9114260502578541,0.4478288702950317,0.3794780360956301,0.519930112231803,0.8612578256088814,0.850413173866723,0.010844651742158429,-0.007941189788193487,0.028118138455472792,0.00793429290070638,0.13195664160078277,0.2368033117646559,0.10484667016387314,0.856493873862998,0.84735192121899,0.009141952644008078,-0.006669925848479274,0.02702516164457718,0.0071955857193112815,0.1819132077869029,0.2753565853190342,0.09344337753213128
0,h0.85_f08_r2,0.85,8,2,False,03,1000,64000,7714,175,0.12053125,0.10443867187499999,0.13720898437499998,435,0.8332061579076981,0.8051907384116894,0.8593263138609739,0.5882114439971967,0.5293392152331253,0.644508789628293,0.5759711749782876,0.5587124995932872,0.017258675385000477,0.006164315069476062,0.029272334612731776,0.00039322235618320656,0.26681238482285885,0.49707689788425163,0.23026451306139278,0.5731730448723888,0.5572132371923647,0.01595980768002414,0.0031928002250275534,0.027553264955099643,-0.00014238424559964713,0.29649956813151074,0.5132241480161687,0.21672457988465793
1,h0.85_f08_r3,0.85,8,3,False,03,1000,64000,6355,173,0.099296875,0.08703281250000001,0.11220664062499999,366,0.8006482872682119,0.7660222473479703,0.833057359005335,0.5967595411877634,0.5310000262561055,0.6542251689027282,0.5839433596064899,0.5663276847093527,0.017615674897137223,0.005985270246707051,0.031140611927074253,-2.1800066152460884e-05,0.29251432058267657,0.525243881166217,0.23272956058354044,0.5812621963896062,0.5651390390785999,0.01612315731100633,0.0016685155430612665,0.029978817488326412,-0.0005811447381789958,0.31913098057158723,0.5233577024423353,0.20422672187074803
2,h0.85_f08_r4,0.85,8,4,False,03,1000,64000,4876,173,0.0761875,0.06698437500000001,0.085243359375,273,0.7789022218180802,0.7390546982497995,0.8125436473247212,0.6163030501004556,0.5547056784851505,0.6763754962204621,0.5944698373001583,0.577016614348387,0.01745322295177132,0.0035142755407087836,0.03238181711637172,-0.0006813699146663021,0.3027767840140923,0.5454351527566027,0.2426583687425104,0.5921149738945279,0.5760507803143773,0.016064193580150654,0.0017944983146500366,0.03160739214190199,-0.0011956232093664476,0.3389331399733599,0.5365481446191972,0.1976150046458373
3,h0.85_f10_r2,0.85,10,2,False,03,1000,64000,9784,177,0.152875,0.13591796875,0.17291523437499998,526,0.8594527171237442,0.8320300227720315,0.8846085188291466,0.5353859330651849,0.47325379913457677,0.5908601210552648,0.5681246475923513,0.5503910670097637,0.01773358058258756,0.006388295484218523,0.0282823607762707,0.0012286288645794036,0.27535182855437995,0.5026066270776569,0.22725479852327696,0.5666057860799576,0.5520686484449339,0.014537137635023734,0.003029019441916117,0.025501142901849568,0.00013820228656959144,0.2633757197082601,0.46535645787838714,0.20198073817012702
4,h0.85_f10_r3,0.85,10,3,False,03,1000,64000,8536,176,0.133375,0.117137109375,0.15050195312499998,483,0.8392169359761891,0.8095262894519657,0.8631817107175536,0.5724450165088251,0.5122444593209109,0.6285874917580277,0.5744411755373199,0.5569226660636446,0.01751850947367528,0.005655632841588451,0.028328388299352667,0.0007808689616140702,0.269286855851268,0.49723468141521,0.227947825563942,0.5726549836388559,0.5570652249808195,0.015589758658036468,0.004302944882701612,0.02636302858040474,-2.6343470364703636e-05,0.28173794846000694,0.4919417130134871,0.21020376455348017
5,h0.85_f10_r4,0.85,10,4,False,03,1000,64000,7189,175,0.112328125,0.09904687500000002,0.128102734375,420,0.8241065090445009,0.7935368155155376,0.8534924076738899,0.5798358865660206,0.5187430167839437,0.6366540621451116,0.5825381522429963,0.5652953531066273,0.017242799136369058,0.004488035503742885,0.02966882168836719,0.00012073825165587193,0.27271008264689744,0.49610783831686384,0.2233977556699664,0.5802418504194056,0.5639006425078285,0.016341207911577116,0.004420269120632472,0.029761961321672446,-0.00024857480751443173,0.2970432573157382,0.5086566205659201,0.21161336325018187
6,h0.85_f12_r2,0.85,12,2,False,03,1000,64000,11753,178,0.183640625,0.1629421875,0.206047265625,593,0.8816179422953823,0.8549363975936967,0.904035981992283,0.5253092754962795,0.460105461441253,0.5899086524370988,0.5606370576502214,0.5450283974150231,0.015608660235198357,0.005541102496674744,0.025118127332408136,0.001223484137888961,0.27728435236920457,0.48895540529389386,0.2116710529246893,0.5594986097608603,0.5469956163744523,0.012502993386408034,0.0018693821361832035,0.021995080263604718,4.918858953104066e-05,0.2678832886778035,0.4560542413994725,0.188170952721669
7,h0.85_f12_r3,0.85,12,3,False,03,1000,64000,10513,177,0.164265625,0.145418359375,0.18590820312499998,556,0.8667280620826554,0.8339340285482516,0.8910726832500225,0.5326510204444045,0.4751420678263557,0.5922467214122851,0.5675548649928834,0.550459424004317,0.017095440988566413,0.007038289691276414,0.02784413420178543,0.0012925640576293418,0.27721278482101586,0.4950914122894105,0.21787862746839465,0.5657338844914548,0.5520090692194336,0.013724815272021185,0.003469171493933665,0.02463876203129029,6.773069300633483e-05,0.2724094949256111,0.47332387351791505,0.20091437859230393
8,h0.85_f12_r4,0.85,12,4,False,03,1000,64000,9282,177,0.14503125,0.127123828125,0.161372265625,520,0.8512756830191432,0.819468945601679,0.8766906880664863,0.5424256893960454,0.4754184163153103,0.5993559699381868,0.5741752712119605,0.5562413089008803,0.017933962311080243,0.007183272346056408,0.028742289970730393,0.0010630781053172222,0.27182971420659857,0.49447967636555545,0.22264996215895688,0.573093085535445,0.5577510665384426,0.015342018997002382,0.004802714613589642,0.02671704127779719,0.00018998295363137352,0.2767292032067741,0.47516701762114044,0.19843781441436636
9,h0.85_f16_r2,0.85,16,2,False,03,1000,64000,15242,182,0.23815625,0.212051171875,0.265266015625,670,0.900166791466234,0.875454509188461,0.9221274608773866,0.47524320862989466,0.4167907718076168,0.5359667449069291,0.5546908441781243,0.540208841336263,0.014482002841861297,0.007336745430163058,0.02287072248261286,0.0020230003802936547,0.24072194624546356,0.4522378740058471,0.21151592776038353,0.5552865820608547,0.5445314157315964,0.010755166329258325,0.001370023501902129,0.019807934532718022,0.0004287085286626413,0.24639056899354203,0.41443140940119616,0.16804084040765413
10,h0.85_f16_r3,0.85,16,3,False,03,1000,64000,14279,180,0.223109375,0.19996640624999998,0.24911757812499996,656,0.8968396264224429,0.8721629784285194,0.9147834453974579,0.48040871756175574,0.41578565854308885,0.5406357759758756,0.5581478070092477,0.5432579518564719,0.014889855152775855,0.006716004690326368,0.02386700251096031,0.0017768929851621346,0.23943328706389738,0.4519547561308458,0.2125214690669484,0.5578504619993457,0.5460799995842274,0.011770462415118366,0.0026622189750264784,0.0214514346097196,0.0005200061693790697,0.2566704358234925,0.43116760173682805,0.17449716591333553
11,h0.85_f16_r4,0.85,16,4,False,03,1000,64000,13147,179,0.205421875,0.18349648437500002,0.22712929687499997,639,0.8898408803596546,0.8624128958169218,0.9088844938317557,0.4819914913053767,0.421223957656069,0.538810569154546,0.5628424228035369,0.5466544042986604,0.0161880185048765,0.00649676308599475,0.025837036097095784,0.0018236676503019938,0.23507887926268914,0.45868785291918485,0.2236089736564957,0.5617155357124223,0.549141595674404,0.012573940038018261,0.002917998092737445,0.022597178708076263,0.0005198260352581585,0.25175669760615343,0.4401697605532633,0.18841306294710986
