definition_index,definition_key,inheritance_threshold_strict,horizon_fissions,renewal_run_length,registered_baseline,candidate,half,left_arm,right_arm,contrast,estimate,ci95_lower,ci95_upper,matrices,states,expected_positive_direction
7,h0.85_f12_r3,0.85,12,3,False,02,A,RANDOM,NOOP,RANDOM_minus_NOOP,-0.001375,-0.0061875,0.0027882812499999995,200,1000,False
7,h0.85_f12_r3,0.85,12,3,False,02,B,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.03971875,0.032531250000000005,0.04587499999999999,200,1000,True
7,h0.85_f12_r3,0.85,12,3,False,02,B,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.01340625,0.00859375,0.017989843749999995,200,1000,True
7,h0.85_f12_r3,0.85,12,3,False,02,B,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.0263125,0.02109375,0.03208749999999999,200,1000,True
7,h0.85_f12_r3,0.85,12,3,False,02,B,RANDOM,NOOP,RANDOM_minus_NOOP,-0.00015625,-0.0039828125,0.0036703124999999974,200,1000,False
8,h0.85_f12_r4,0.85,12,4,False,02,A,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.041,0.03513828125,0.0477328125,200,1000,True
8,h0.85_f12_r4,0.85,12,4,False,02,A,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.012875,0.0077046875,0.017465624999999995,200,1000,True
8,h0.85_f12_r4,0.85,12,4,False,02,A,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.028125,0.0231109375,0.03409375,200,1000,True
8,h0.85_f12_r4,0.85,12,4,False,02,A,RANDOM,NOOP,RANDOM_minus_NOOP,-0.001875,-0.005913281249999999,0.001850781249999999,200,1000,False
8,h0.85_f12_r4,0.85,12,4,False,02,B,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.0409375,0.03389921875,0.047434374999999994,200,1000,True
8,h0.85_f12_r4,0.85,12,4,False,02,B,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.014125,0.009204687499999998,0.019111718749999992,200,1000,True
8,h0.85_f12_r4,0.85,12,4,False,02,B,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.0268125,0.02164921875,0.03188203125,200,1000,True
8,h0.85_f12_r4,0.85,12,4,False,02,B,RANDOM,NOOP,RANDOM_minus_NOOP,-0.0006875,-0.004757031250000001,0.004014062499999998,200,1000,False
9,h0.85_f16_r2,0.85,16,2,False,02,A,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.035625,0.028510156249999998,0.0425734375,200,1000,True
9,h0.85_f16_r2,0.85,16,2,False,02,A,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.01384375,0.007992968750000001,0.019347656249999994,200,1000,True
9,h0.85_f16_r2,0.85,16,2,False,02,A,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.02178125,0.015388281249999998,0.027917187499999992,200,1000,True
9,h0.85_f16_r2,0.85,16,2,False,02,A,RANDOM,NOOP,RANDOM_minus_NOOP,-0.0016875,-0.00746875,0.003559374999999996,200,1000,False
9,h0.85_f16_r2,0.85,16,2,False,02,B,MODEL_UP,MODEL_DOWN,MODEL_UP_minus_MODEL_DOWN,0.03546875,0.02891640625,0.04227499999999999,200,1000,True
9,h0.85_f16_r2,0.85,16,2,False,02,B,MODEL_UP,NOOP,MODEL_UP_minus_NOOP,0.01021875,0.0051734375,0.01528828125,200,1000,True
9,h0.85_f16_r2,0.85,16,2,False,02,B,NOOP,MODEL_DOWN,NOOP_minus_MODEL_DOWN,0.02525,0.01984375,0.030958593749999996,200,1000,True
9,h0.85_f16_r2,0.85,16,2,False,02,B,RANDOM,NOOP,RANDOM_minus_NOOP,0.00015625,-0.004218749999999999,0.0047921874999999935,200,1000,False
