definition_index,definition_key,adjacent_and_pairwise_threshold_strict,strict_run_length,old_anchor_threshold_inclusive,horizon_fissions,registered_baseline,candidate,states,branches,events,event_positive_matrices,prevalence,prevalence_ci95_lower,prevalence_ci95_upper,transition_region_states,branch_half_reliability,branch_half_reliability_ci95_lower,branch_half_reliability_ci95_upper,centered_branch_half_reliability,centered_branch_half_reliability_ci95_lower,centered_branch_half_reliability_ci95_upper,log_loss_baseline_A,log_loss_added_A,log_loss_gain_A,log_loss_gain_A_ci95_lower,log_loss_gain_A_ci95_upper,q_brier_gain_A,centered_spearman_baseline_A,centered_spearman_added_A,centered_spearman_gain_A,log_loss_baseline_B,log_loss_added_B,log_loss_gain_B,log_loss_gain_B_ci95_lower,log_loss_gain_B_ci95_upper,q_brier_gain_B,centered_spearman_baseline_B,centered_spearman_added_B,centered_spearman_gain_B
16,h0.90_r9_a0.85,0.9,9,0.85,32,False,02,1000,128000,1495,117,0.0116796875,0.008497656250000001,0.015091210937499997,20,0.6107435838010902,0.5251384275138257,0.6892872886692176,0.1640864807008212,0.06949403641331081,0.26167502632672107,0.06491914431094381,0.0646034240213216,0.00031572028962220666,-0.00015976612571390967,0.0008790762948494299,-2.1229153109651906e-05,0.07408598157411399,0.04190342265036506,-0.032182558923748925,0.06404784617284896,0.06393668887404937,0.00011115729879959679,-0.00040442459969591577,0.0005821906093046582,-2.5348840797914706e-05,0.033194279516427186,0.02610746849907518,-0.007086811017352007
17,h0.90_r9_a0.90,0.9,9,0.9,32,False,02,1000,128000,1557,120,0.0121640625,0.0088279296875,0.0157892578125,21,0.5997162694604361,0.517401967288001,0.6750555245537353,0.14353318980204677,0.04945099155962637,0.23872253477784297,0.06652332549233156,0.06622286292403234,0.0003004625682992146,-0.00022000809327555395,0.0008267368989745044,-2.1954606776965506e-05,0.07863845317508852,0.04650893731929359,-0.03212951585579493,0.06606343294285183,0.06590779710775872,0.00015563583509310697,-0.0003578291161213363,0.0005738965886419337,-2.2633568185537016e-05,0.025618505470903816,0.028071583216407965,0.0024530777455041494
18,h0.92_r7_a0.80,0.92,7,0.8,32,False,02,1000,128000,3724,152,0.02909375,0.022007812499999998,0.0362552734375,95,0.7168342988686761,0.6531917857375311,0.7767711186486882,0.22574968308091706,0.12337270377774982,0.32132112677569713,0.129935923838,0.12923482456224678,0.0007010992757532364,-8.03527444634744e-05,0.0014516375044498378,2.448777760075604e-05,0.12183008110043889,0.07527154440432125,-0.04655853669611763,0.1283760637079743,0.12802257142778212,0.0003534922801921858,-0.00037368848419801236,0.0012716421540032385,7.530315292715931e-06,0.13058846876414001,0.07422528831165992,-0.056363180452480094
19,h0.92_r7_a0.85,0.92,7,0.85,32,False,02,1000,128000,3935,153,0.0307421875,0.024108398437499998,0.0377673828125,99,0.7240800894478969,0.6561473295530426,0.7824473612977186,0.22691385109636325,0.1269361083286546,0.32162319069328577,0.13616107461494567,0.13537019937559172,0.0007908752393539498,-7.275278495070049e-05,0.0017674671461076204,3.0323469093792958e-05,0.10890933363335799,0.0659568551933644,-0.042952478439993586,0.13448557805258468,0.13406595217261585,0.00041962587996882683,-0.0003667198497067967,0.0012307257394166187,1.0656469198051452e-05,0.11861926548666604,0.06493504589105523,-0.053684219595610816
20,h0.92_r7_a0.90,0.92,7,0.9,32,False,02,1000,128000,4117,155,0.0321640625,0.02493984375,0.039844531249999975,102,0.7167042745856153,0.6475240348620092,0.7698397084794704,0.20578693193647432,0.10252385647829508,0.3069853250891745,0.14171250706348087,0.14095048901461849,0.0007620180488623896,-6.074972890529849e-05,0.001660445978140009,3.0257867372312543e-05,0.10363617878655387,0.06366255305484281,-0.039973625731711065,0.13954730420101552,0.13910451604536578,0.0004427881556497426,-0.0003816156937085015,0.001265936443262778,1.5587053020980034e-05,0.10669754357521839,0.06003364341717079,-0.046663900158047604
21,h0.92_r8_a0.80,0.92,8,0.8,32,False,02,1000,128000,2245,133,0.0175390625,0.012928124999999999,0.0225017578125,46,0.6482520727607932,0.5664416001046902,0.7141550420719284,0.15953149581491247,0.061974298309163386,0.2603552603178997,0.08584795073895303,0.08547525407595363,0.0003726966629993972,-0.00021893872644985734,0.001026070218673543,-8.751488121317222e-06,0.04750651998267389,0.014615435603777698,-0.03289108437889619,0.08645845490549081,0.08637044554487673,8.800936061408027e-05,-0.00046530600408749496,0.0006857912304459524,-1.6681102132505305e-05,0.10402629109670096,0.061589080779682205,-0.042437210317018755
22,h0.92_r8_a0.85,0.92,8,0.85,32,False,02,1000,128000,2396,134,0.01871875,0.0138697265625,0.02385859375,53,0.6592225284088412,0.5766010075823285,0.7295891210455643,0.1663042664645485,0.06285816689657987,0.26284505425207205,0.09013839544136887,0.08972600648130209,0.0004123889600667757,-0.00021289308486917153,0.0011659200310649366,-6.817448066539274e-06,0.053011154957281585,0.01442408541569928,-0.03858706954158231,0.09087725275784664,0.0907290797801987,0.0001481729776479368,-0.0004761827575713768,0.0007375666817067642,-1.262336162861184e-05,0.09174360174342887,0.04936102636123157,-0.0423825753821973
23,h0.92_r8_a0.90,0.92,8,0.9,32,False,02,1000,128000,2515,135,0.0196484375,0.014592578125,0.0251373046875,56,0.6572263548922045,0.5729650326649971,0.7257433046545243,0.17805251538778924,0.07897747390604215,0.2676648999970789,0.09394260053507185,0.09353455107999463,0.00040804945507721957,-0.0001759648725670103,0.0010484450423293714,-6.622677100245628e-06,0.06134027903612969,0.026134524952809657,-0.03520575408332003,0.09402170931592811,0.09382744194489552,0.0001942673710325915,-0.0004481749465770967,0.0007294238266751929,-1.0029881886002533e-05,0.08692427559941455,0.04743610484056046,-0.039488170758854094
24,h0.92_r9_a0.80,0.92,9,0.8,32,False,02,1000,128000,1399,111,0.0109296875,0.007600390625,0.014640039062499997,19,0.5783015526724268,0.4743221706065109,0.6649937298304867,0.10744916931489923,0.013478253374200092,0.20658678626709473,0.06214679402952042,0.06197093028753899,0.00017586374198142601,-0.0003615074617181243,0.0007200445843169638,-3.0232610342707843e-05,0.04905552138378474,-0.0007805851692732953,-0.049836106553058035,0.06111751273851027,0.06111107213663452,6.440601875754015e-06,-0.00045080380919039866,0.0004719436147520286,-2.9965909902024456e-05,0.08608099575977744,0.08574235120521799,-0.00033864455455945297
25,h0.92_r9_a0.85,0.92,9,0.85,32,False,02,1000,128000,1499,113,0.0117109375,0.008341992187500001,0.016064453125,22,0.590849857812301,0.49629774195279186,0.6648006164113951,0.08597173122135451,-0.01574412333393684,0.18550325147812607,0.0652432517337202,0.06503404297087874,0.00020920876284145906,-0.00031649362238195705,0.0007722194841643842,-2.740652403088661e-05,0.04865086725041537,0.0021342697306796056,-0.04651659751973576,0.06372057759996344,0.06365310598185203,6.747161811140878e-05,-0.0003987154841736777,0.0005560864542244357,-2.513158059657414e-05,0.0909263092416745,0.09122907165000729,0.0003027624083327962
