endpoint,scope,candidate,branch_half,matrix_id,target_loosen_minus_tighten,neutral_minus_noop,balanced_log_minus_noop
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,61,0.0,0.0,0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,62,0.15,0.075,-0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,63,0.0375,-0.1,-0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,64,-0.025,-0.05,-0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,65,0.225,0.15,-0.025
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,66,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,67,0.0,0.0,0.0
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,68,0.1,-0.075,-0.05
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,69,0.1125,0.05,0.0375
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,70,0.075,0.025,0.05
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,71,0.0,0.0125,0.1125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,72,0.0,-0.025,0.125
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,73,0.025,0.0,0.0625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,74,0.075,0.1875,0.0625
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,75,0.0,0.075,0.05
JOINT_BREAK_RUN3_F12,five_standard_landmarks,02,B,76,0.25,0.275,-0.15
