pair_id,feature_kind,condition,generation,balanced_accuracy,opposite_rescue_branch
renewal-v2-0-294847a2fd1b07b3,carrier,intact,16,0.68359375,False
renewal-v2-0-294847a2fd1b07b3,carrier,no_rewrite,16,1.0,False
renewal-v2-0-294847a2fd1b07b3,carrier,read_disabled,16,0.0,False
renewal-v2-0-294847a2fd1b07b3,carrier,rescue_opposite_enter_g4,16,0.68359375,True
renewal-v2-0-294847a2fd1b07b3,carrier,rescue_same_enter_g4,16,0.68359375,False
renewal-v2-0-294847a2fd1b07b3,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-0-294847a2fd1b07b3,phenotype,intact,16,0.68359375,False
renewal-v2-0-294847a2fd1b07b3,phenotype,no_rewrite,16,0.375,False
renewal-v2-0-294847a2fd1b07b3,phenotype,read_disabled,16,0.0,False
renewal-v2-0-294847a2fd1b07b3,phenotype,rescue_opposite_enter_g4,16,0.68359375,True
renewal-v2-0-294847a2fd1b07b3,phenotype,rescue_same_enter_g4,16,0.68359375,False
renewal-v2-1-009c74a228a8508d,carrier,ablate_after_g2,16,0.0,False
renewal-v2-1-009c74a228a8508d,carrier,intact,16,0.62109375,False
renewal-v2-1-009c74a228a8508d,carrier,no_rewrite,16,1.0,False
renewal-v2-1-009c74a228a8508d,carrier,read_disabled,16,0.0,False
renewal-v2-1-009c74a228a8508d,carrier,rescue_opposite_enter_g4,16,0.62109375,True
renewal-v2-1-009c74a228a8508d,carrier,rescue_same_enter_g4,16,0.62109375,False
renewal-v2-1-009c74a228a8508d,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-1-009c74a228a8508d,phenotype,intact,16,0.65625,False
renewal-v2-1-009c74a228a8508d,phenotype,no_rewrite,16,0.5,False
renewal-v2-1-009c74a228a8508d,phenotype,read_disabled,16,0.0,False
renewal-v2-1-009c74a228a8508d,phenotype,rescue_opposite_enter_g4,16,0.65625,True
renewal-v2-1-009c74a228a8508d,phenotype,rescue_same_enter_g4,16,0.65625,False
renewal-v2-3-157eb01f82b6b48a,carrier,ablate_after_g2,16,0.0,False
renewal-v2-3-157eb01f82b6b48a,carrier,intact,16,0.65625,False
renewal-v2-3-157eb01f82b6b48a,carrier,no_rewrite,16,1.0,False
renewal-v2-3-157eb01f82b6b48a,carrier,read_disabled,16,0.0,False
renewal-v2-3-157eb01f82b6b48a,carrier,rescue_opposite_enter_g4,16,0.65625,True
renewal-v2-3-157eb01f82b6b48a,carrier,rescue_same_enter_g4,16,0.65625,False
renewal-v2-3-157eb01f82b6b48a,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-3-157eb01f82b6b48a,phenotype,intact,16,0.6640625,False
renewal-v2-3-157eb01f82b6b48a,phenotype,no_rewrite,16,0.125,False
renewal-v2-3-157eb01f82b6b48a,phenotype,read_disabled,16,0.0,False
renewal-v2-3-157eb01f82b6b48a,phenotype,rescue_opposite_enter_g4,16,0.6640625,True
renewal-v2-3-157eb01f82b6b48a,phenotype,rescue_same_enter_g4,16,0.6640625,False
renewal-v2-0-1d59e5fef760aa7c,carrier,ablate_after_g2,16,0.0,False
renewal-v2-0-1d59e5fef760aa7c,carrier,intact,16,0.73046875,False
renewal-v2-0-1d59e5fef760aa7c,carrier,no_rewrite,16,1.0,False
renewal-v2-0-1d59e5fef760aa7c,carrier,read_disabled,16,0.0,False
renewal-v2-0-1d59e5fef760aa7c,carrier,rescue_opposite_enter_g4,16,0.73046875,True
renewal-v2-0-1d59e5fef760aa7c,carrier,rescue_same_enter_g4,16,0.73046875,False
renewal-v2-0-1d59e5fef760aa7c,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-0-1d59e5fef760aa7c,phenotype,intact,16,0.69921875,False
renewal-v2-0-1d59e5fef760aa7c,phenotype,no_rewrite,16,0.25,False
renewal-v2-0-1d59e5fef760aa7c,phenotype,read_disabled,16,0.0,False
renewal-v2-0-1d59e5fef760aa7c,phenotype,rescue_opposite_enter_g4,16,0.69921875,True
renewal-v2-0-1d59e5fef760aa7c,phenotype,rescue_same_enter_g4,16,0.69921875,False
renewal-v2-2-2a58891b254afc1e,carrier,ablate_after_g2,16,0.0,False
renewal-v2-2-2a58891b254afc1e,carrier,intact,16,0.69140625,False
renewal-v2-2-2a58891b254afc1e,carrier,no_rewrite,16,1.0,False
renewal-v2-2-2a58891b254afc1e,carrier,read_disabled,16,0.0,False
renewal-v2-2-2a58891b254afc1e,carrier,rescue_opposite_enter_g4,16,0.69140625,True
renewal-v2-2-2a58891b254afc1e,carrier,rescue_same_enter_g4,16,0.69140625,False
renewal-v2-2-2a58891b254afc1e,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-2-2a58891b254afc1e,phenotype,intact,16,0.6875,False
renewal-v2-2-2a58891b254afc1e,phenotype,no_rewrite,16,0.125,False
renewal-v2-2-2a58891b254afc1e,phenotype,read_disabled,16,0.0,False
renewal-v2-2-2a58891b254afc1e,phenotype,rescue_opposite_enter_g4,16,0.6875,True
renewal-v2-2-2a58891b254afc1e,phenotype,rescue_same_enter_g4,16,0.6875,False
renewal-v2-1-03814192ab7b0f9d,carrier,ablate_after_g2,16,0.0,False
renewal-v2-1-03814192ab7b0f9d,carrier,intact,16,0.65234375,False
renewal-v2-1-03814192ab7b0f9d,carrier,no_rewrite,16,1.0,False
renewal-v2-1-03814192ab7b0f9d,carrier,read_disabled,16,0.0,False
renewal-v2-1-03814192ab7b0f9d,carrier,rescue_opposite_enter_g4,16,0.65234375,True
renewal-v2-1-03814192ab7b0f9d,carrier,rescue_same_enter_g4,16,0.65234375,False
renewal-v2-1-03814192ab7b0f9d,phenotype,ablate_after_g2,16,0.0,False
renewal-v2-1-03814192ab7b0f9d,phenotype,intact,16,0.64453125,False
renewal-v2-1-03814192ab7b0f9d,phenotype,no_rewrite,16,0.25,False
renewal-v2-1-03814192ab7b0f9d,phenotype,read_disabled,16,0.0,False
