source_state_id,candidate,matrix_id,landmark,eligible,reason,observed_fissions,break_time,broken_state_id,break_h,broken_state_digest,old_anchor_digest
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m129-g080,03,129,80,True,natural_break_observed,6,6,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m129-g080-natural-break-f06,0.8888911741823543,6b97368e7a470fb8c526e7f1bf11a0831ef8f7db1bf86a3e7f1c3da58fc1e1ad,8e8c1dc0e85d9809e975aa886c7b3cc54b930c24edb55ef5f105e69519fb71b8
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m130-g020,02,130,20,True,natural_break_observed,6,6,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m130-g020-natural-break-f06,0.8579394203669674,e5427ca0ba0d231be0ea7ae6b7c61187ab566ffd3a849d40b367186f5ad09b86,a8bb7f949da2230686a5b99362308eabeed984641fb51db68b5f220f6f768c5e
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m130-g035,02,130,35,True,natural_break_observed,53,53,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m130-g035-natural-break-f53,0.8962953089047357,8f06d186422cbef3876bcea0b93760b28f3bd66e8bde6535dff4c700051aa167,b8614deb0a646b116a95d86dc3c507ead1ab9bd9f9b9349006649fc8dab5231d
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m130-g050,02,130,50,False,no_natural_break_within_registered_limit,60,-1,,,,
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m130-g065,02,130,65,True,natural_break_observed,6,6,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m130-g065-natural-break-f06,0.851900344005959,3fff19b2aa7411255b0732b1a876df9664b2b8fef551bc230e315f57eae35f7d,bac1836ccab3f0c27785acb2ded9716a66db56ea65ef0c4d435be120b1f96761
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m130-g080,02,130,80,True,natural_break_observed,42,42,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m130-g080-natural-break-f42,0.888086083514513,77684c84149639cb2eb98c90359a2928029a1801fccb975d7d7ccfb922e37ec9,6320ed145af4891e5c71d5210b600813cb780458cfa49aeb312c7d34c867f3a5
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m130-g020,03,130,20,True,natural_break_observed,5,5,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m130-g020-natural-break-f05,0.8980447890568036,679c5513666e848a8fa0f4d0b9787bfddcacba0c3a04f62f51b052209dc1aeb3,16ebe01b536ff79f2608cc2fe670d8c416dc59f0469522a16abc54a22db8e0ae
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m130-g035,03,130,35,True,natural_break_observed,5,5,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m130-g035-natural-break-f05,0.8610064923859726,240e29e0142e3c0f62ee5ae0545cff2269bb5b7a0065643a7fd28126ff9b72dd,c0b9128f6b98a5c08c2ad09fe15df21697294251d6f9ccd40841319779961cc9
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m130-g050,03,130,50,True,natural_break_observed,44,44,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m130-g050-natural-break-f44,0.8897488550956694,1ac3bee422b458785a861d0dbb5e74b7bbf05379ba2e5277e72fe7536e6d8713,8f7b29161ca84a7d21da52c3a522a1216b0771c2b34e5054b61c56594d958ffb
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m130-g065,03,130,65,True,natural_break_observed,18,18,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m130-g065-natural-break-f18,0.862057339823087,299126ba6e9eb93aa208ab80a5931ea84228bfa5964b304f6628f84a7b1f0982,47abf5dcbb89c9a19b321b9552c37b50239f878655e31fe1b46164ad28e78225
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m130-g080,03,130,80,True,natural_break_observed,12,12,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m130-g080-natural-break-f12,0.8169383842071353,9cc206fe6b7c8f03e709550df41fcced72b01c3e43a8fe113a7db3e2bf3789f5,43a4456552381b39588def086ec21b99a16c1b6d4942c6887126b03b806ff426
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m131-g020,02,131,20,True,natural_break_observed,11,11,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m131-g020-natural-break-f11,0.8691922064553371,c3988d4335bf48595640f48ac818124a0921e1544b8589a5bfc751ef0d3dad82,e72d9678d200f278778bdf3a6905b997277b77990517e5537db0f55db8123869
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m131-g035,02,131,35,True,natural_break_observed,9,9,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m131-g035-natural-break-f09,0.8844350114461019,cdf3a1c80688f50bc370b0128072628fbf21c1c7b4216828fcda7dff0932dc2f,41de50268362d68efb7b9228e26155dcca0ef32b4483cc16ff3fb318c8dccc3e
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m131-g050,02,131,50,True,natural_break_observed,1,1,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m131-g050-natural-break-f01,0.894658279284614,ff7bf79c17a73c6e83d505eacfd11929f19df7d6791c9852dfc5f0db26497200,a1d1d13f4b8174c1dffb8eb626712801bbf045450eaa5ea9b78980db8256d2ae
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m131-g065,02,131,65,True,natural_break_observed,19,19,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m131-g065-natural-break-f19,0.8698976254264403,3a0bc8409f21ccd3249c16c7b05336da791da211310b38e4d0988f919b4ace11,85f07bcb57249409b68d7c1ad9924b50d5efcd7b2c18cf51127402445ece1d87
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m131-g080,02,131,80,True,natural_break_observed,13,13,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m131-g080-natural-break-f13,0.8667692489794679,46ade4cb7f03d44f5b0e591855e4afe61a5c4b37ca787482b777afa10cdc951c,f72c292d6911754ca01f7ef796689e320a76d70cc091721279aa7351e2c8bb1e
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m131-g020,03,131,20,True,natural_break_observed,18,18,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m131-g020-natural-break-f18,0.8761543558754847,2f7bab1440ab1f23e50a54756450aa59fbe1a7f66ef4cc0e29eb1f1c8b77df32,c46608c6c602d57caae66d7f7c68e2c1afa32ed7520c56b206a762344119bbc8
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m131-g035,03,131,35,True,natural_break_observed,7,7,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m131-g035-natural-break-f07,0.8780541105074454,1eefc10921325f58efb287355b3a6885269c030a644044884c461906fb88fb0d,b1df9ac22907b75b16471d0d32937f0c732583985302dea613e0beb0449680c0
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m131-g050,03,131,50,True,natural_break_observed,1,1,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m131-g050-natural-break-f01,0.861740789192712,162ba843f662032e34b5ddf56579da498c0647b87eee89b76132b8193c5a1900,6f05b7149ee2f20df15699f125f5bead7bd48a32d82f5a41b44152003590c41b
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m131-g065,03,131,65,True,natural_break_observed,1,1,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m131-g065-natural-break-f01,0.8482931856991747,e80437992bd49576421e7a75dba19710d0a085a58476d750687ba6891fe4b691,61ea99891d4edcc3ce1cd2f626870dd2e7be6d28865348c8a0e74f4d0f5341b3
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m131-g080,03,131,80,True,natural_break_observed,1,1,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c03-m131-g080-natural-break-f01,0.895491550002176,da54f876a8f7cc044b7f48abf8f6afeba29856615f5e1f74421f21e364f6b659,788203ab06ba587e6707b1c9587eac56408bab1ebc3c18e4e02e2fdd213a3c2d
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m132-g020,02,132,20,False,no_natural_break_within_registered_limit,60,-1,,,,
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m132-g035,02,132,35,False,no_natural_break_within_registered_limit,60,-1,,,,
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m132-g050,02,132,50,True,natural_break_observed,6,6,INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m132-g050-natural-break-f06,0.8850735919447008,97f532b73aea7630f285da57fedd3d50be007503da699e5526b9efddb8b438bd,559dd0162cd50c8c999ff09e11003d4691df1249652edc4afb1df5480f290ec2
INTCR5_RESISTANCE_RESILIENCE_CONFIRMATION_V1-c02-m132-g065,02,132,65,False,no_natural_break_within_registered_limit,60,-1,,,,
