candidate,matrix_id,launch,convention,pulse_length,persistence,pulse_completed,release_completed,edits_applied,release_interventions_applied,release_inherited_fixed_fraction,final_similarity,minimum_similarity,launch_risk,launch_entropy,launch_top1_share,launch_occupied_types,launch_throughput,anchor_risk,anchor_entropy,anchor_top1_share,anchor_occupied_types,anchor_throughput,risk_reduction,entropy_reduction,top1_increase,occupied_reduction,log_throughput_ratio
02,1,MATURE,POST_EDIT,4,4.333333333333333,1.0,1.0,4.0,0.0,0.9555555555555556,0.29181557150521187,0.0938735270593895,0.24700150424827286,2.7206515646893905,0.15,19.0,114.73959084037897,0.06744454167451332,2.2794106170707518,0.2916666666666667,14.666666666666666,937.9142392701684,0.17955696257375955,0.44124094761863875,0.1416666666666667,4.333333333333333,2.05047689949022
02,1,MATURE,POST_EDIT,8,4.666666666666667,1.0,1.0,8.0,0.0,0.9777777777777779,0.3361233522606124,0.0945494523435378,0.24700150424827286,2.7206515646893905,0.15,19.0,114.73959084037897,0.05555855479008015,2.2510839182196993,0.21666666666666667,14.0,789.6441950241998,0.1914429494581927,0.46956764646969135,0.06666666666666667,5.0,1.9088989535971026
02,1,MATURE,POST_EDIT,16,5.0,1.0,1.0,16.0,0.0,0.9222222222222222,0.2943954871238541,0.05662550482473355,0.24700150424827286,2.7206515646893905,0.15,19.0,114.73959084037897,0.04836627358355259,2.208883180184966,0.2833333333333334,12.666666666666666,930.5164705860128,0.19863523066472025,0.5117683845044242,0.13333333333333333,6.333333333333333,2.0102570608179846
02,1,MATURE,POST_EDIT,32,3.0,1.0,1.0,32.0,0.0,0.9777777777777779,0.4379401898401099,0.03433001275383996,0.24700150424827286,2.7206515646893905,0.15,19.0,114.73959084037897,0.05764856719560798,2.2465405122182127,0.30833333333333335,15.333333333333334,615.1066747412764,0.1893529370526649,0.4741110524711778,0.15833333333333333,3.6666666666666665,1.6394177540231682
02,1,MATURE,POST_EDIT,60,3.3333333333333335,1.0,1.0,60.0,0.0,0.9500000000000001,0.4830819194521349,0.04270414929121586,0.24700150424827286,2.7206515646893905,0.15,19.0,114.73959084037897,0.020369135938760875,2.074204668552961,0.325,12.666666666666666,1068.7003792603848,0.22663236830951197,0.6464468961364298,0.17500000000000002,6.333333333333333,2.1961705838727412
02,1,MATURE,RELAXED,1,3.3333333333333335,1.0,1.0,0.0,0.0,0.9666666666666667,0.6084117022909177,0.20120531170633052,0.24700150424827286,2.7206515646893905,0.15,19.0,114.73959084037897,0.2161703052070604,2.736471927468395,0.15,19.666666666666668,183.33450412906015,0.030831199041212454,-0.015820362779004043,0.0,-0.6666666666666666,0.4119288172101388
02,1,MATURE,RELAXED,2,3.6666666666666665,1.0,1.0,1.0,0.0,0.9444444444444443,0.5577378779782776,0.21920728531299505,0.24700150424827286,2.7206515646893905,0.15,19.0,114.73959084037897,0.15154291565030165,2.521578375329956,0.16666666666666666,17.333333333333332,303.9101086795299,0.09545858859797123,0.1990731893594345,0.016666666666666673,1.6666666666666667,0.9545178087756939
02,1,MATURE,RELAXED,4,3.3333333333333335,1.0,1.0,3.0,0.0,0.9166666666666666,0.4980570426567852,0.09042033308954316,0.24700150424827286,2.7206515646893905,0.15,19.0,114.73959084037897,0.09980066009865786,2.3025155230894168,0.2916666666666667,15.333333333333334,499.9509235596083,0.14720084414961498,0.4181360415999739,0.1416666666666667,3.6666666666666665,1.0020327769467252
02,1,MATURE,RELAXED,8,3.6666666666666665,1.0,1.0,7.0,0.0,0.9666666666666667,0.24927203472596618,0.026815671292395565,0.24700150424827286,2.7206515646893905,0.15,19.0,114.73959084037897,0.07941715632047046,2.2510839182196993,0.21666666666666667,14.0,534.1609594271061,0.16758434792780239,0.46956764646969135,0.06666666666666667,5.0,1.4909325798843114
02,1,MATURE,RELAXED,16,4.0,1.0,1.0,15.0,0.0,0.9222222222222222,0.19070623543533408,0.04611056643289215,0.24700150424827286,2.7206515646893905,0.15,19.0,114.73959084037897,0.06546472520384901,2.2363484874016692,0.2833333333333334,13.333333333333334,655.2138330851361,0.18153677904442386,0.48430307728772143,0.13333333333333333,5.666666666666667,1.6475081292171383
02,1,MATURE,RELAXED,32,5.666666666666667,1.0,1.0,31.0,0.0,0.9444444444444443,0.3259859473435274,0.045980117102353675,0.24700150424827286,2.7206515646893905,0.15,19.0,114.73959084037897,0.09024202732867148,2.2580929652275454,0.30833333333333335,15.666666666666666,298.12190478434826,0.15675947691960135,0.4625585994618451,0.15833333333333333,3.3333333333333335,0.363458708014374
02,1,MATURE,RELAXED,60,3.3333333333333335,1.0,1.0,59.0,0.0,0.9666666666666667,0.41513304050319944,0.0653839537708238,0.24700150424827286,2.7206515646893905,0.15,19.0,114.73959084037897,0.030433240427699442,2.0973095745716255,0.325,13.333333333333334,582.7990011584494,0.2165682638205734,0.623341990117765,0.17500000000000002,5.666666666666667,1.4648984921784454
02,1,NASCENT,POST_EDIT,1,3.6666666666666665,1.0,1.0,1.0,0.0,0.9611111111111111,0.19810490298898967,0.07668472085275879,0.996432936315614,3.688879454113938,0.025000000000000005,40.0,44.921774385688046,0.5276120144668176,3.0325677959413677,0.19999999999999998,27.333333333333332,515.0110363989287,0.46882092184879637,0.6563116581725706,0.17500000000000002,12.666666666666666,2.1616208396965426
