source_state_id,broken_state_id,candidate,matrix_id,landmark,eligible,reason,observed_fissions,break_time,break_h,broken_state_digest,old_anchor_digest
VALI-c02-m162-g035,VALI-c02-m162-g035-natural-break-f22,02,162,35,True,natural_break_observed,22,22,0.895716860347206,b6e9b34c04867776c3978dc35ead8162403ee0b6f97e24dbd18c7b1b11a4e68f,9a9d59a06c6a21d975566b3df0f8a11f5846ad0bca251836020054f8ad64534b
VALI-c02-m162-g050,VALI-c02-m162-g050-natural-break-f05,02,162,50,True,natural_break_observed,5,5,0.8881451570662436,46180e506d123f324758b7c3e5553872424f02819b893d7254b9c227124baaa9,0a82e96499305f4796bef72227aa8ff5df4ed1ed6803ce3c34be83c466a31f40
VALI-c02-m162-g065,VALI-c02-m162-g065-natural-break-f16,02,162,65,True,natural_break_observed,16,16,0.8987504023580182,5ada6c38276e24d229a38f71de905c2cb636d32ae5ee250184f3e0459f4900d3,edb9100b3c2f0f41f620b8f52251c90b7c1797fb41cdc069eb3d3adecbbb0a51
VALI-c02-m162-g080,VALI-c02-m162-g080-natural-break-f35,02,162,80,True,natural_break_observed,35,35,0.8731696390689547,92dc17b7d0a49137c1af66ed80e9850bac4258c213db35eeaf5345873efbe529,72dfd84c9bcdea5d41fe0c285f6b668ba177e11317a805c545899605da532a1e
VALI-c03-m162-g020,VALI-c03-m162-g020-natural-break-f07,03,162,20,True,natural_break_observed,7,7,0.8873240483120577,304d4fd8b8ac1b53ef23c57e14ce69269500c63e2670e7ca1b645523628284a2,d2db69e05b56a02bbc0d63c1c1fb6753634a24b2fbd3b4dfc40b3c12705f6af2
VALI-c03-m162-g035,VALI-c03-m162-g035-natural-break-f42,03,162,35,True,natural_break_observed,42,42,0.8921612456232758,4f1161c9aa9ec1e1dc82e31720121023ea617c310aad9979afd2849ebfc167e2,3a711c0b6edcccf00c4eebfaf6423cd44d7e4e3642c0f8aa701dc594ad4f6f5d
VALI-c03-m162-g050,VALI-c03-m162-g050-natural-break-f11,03,162,50,True,natural_break_observed,11,11,0.8653180034526436,909bc029a0b98efa1142d87d46b378a1548ad9bc4e7ca18f2d2cd2b90268b81b,fc72c86dab7cc2f74f2b549422498f26fafea8c3ccf5cad00130ccc274dac6db
VALI-c03-m162-g065,VALI-c03-m162-g065-natural-break-f47,03,162,65,True,natural_break_observed,47,47,0.8400825588825812,eab53d6cc1365f5e231473f889a3581e9dba5b80b4f2cca35a158dfd8a2a5c89,ea1841fa11384b9093b51e04524bb2de3129f5fa3e85799e95a5ab1d7718d770
VALI-c03-m162-g080,VALI-c03-m162-g080-natural-break-f18,03,162,80,True,natural_break_observed,18,18,0.8952941946970218,61da208ab2d4425d7b2359a11b962ffab2d065d301a44c8a59cbf94a8254b3e6,3c270410c8539b3df2581a3f8559d874b46af3dd1632c7744fe2e0ed71bae27a
VALI-c02-m163-g020,VALI-c02-m163-g020-natural-break-f07,02,163,20,True,natural_break_observed,7,7,0.897408241049893,14a626497cfc6c18097865c105cb0952ca7240d4763771f15d014ffe7e86d362,0ac135a3087bff79a79d2c5ad2b62dd3ffafb39aa2235519c6ece3cb4ce4c729
VALI-c02-m163-g035,VALI-c02-m163-g035-natural-break-f07,02,163,35,True,natural_break_observed,7,7,0.8992612081277329,9f56593f6ff5cdef4cc470c51ab5c4466f4442c9422b848ec722f39b1f06a5d2,b148457532a6ddea77d6e9af2ba1bb362f7507c9987ddfa1f00419af137ec043
VALI-c02-m163-g050,VALI-c02-m163-g050-natural-break-f21,02,163,50,True,natural_break_observed,21,21,0.8523635404862263,88f9f757b34f7bd50e7df2034a012acac509dafcad549fb9cb8bb28e08c42c47,a68e2d109ccc7951df61919240d3a58cfd89b9b386585d0eaa8883aa3ea8a7b9
VALI-c02-m163-g065,VALI-c02-m163-g065-natural-break-f02,02,163,65,True,natural_break_observed,2,2,0.8704665597012821,2fa328dcccde67a52412b076d45fba708476966fb5d66080d8a6e8796a675468,6ec119519868d0d995fea66e4da9db0c87297b4add102a3b5a1260bf49120153
VALI-c02-m163-g080,VALI-c02-m163-g080-natural-break-f03,02,163,80,True,natural_break_observed,3,3,0.8853583611224483,e9084c0d1a5642c0c034d0beaa6eb0d9172a3a9ad1dfe712d50f7d857277aafc,e2d73c02bfa8f3fc01f8479193e83f161950b70606dd52076543aea001f04093
VALI-c03-m163-g020,VALI-c03-m163-g020-natural-break-f28,03,163,20,True,natural_break_observed,28,28,0.8523417662454927,5d0a10dec368fa18564caca7a723e725afaf54f8540bdfabadc2906513020473,33008fe58633f32641345c0a046ea817f3059f51addaea409f831043d00fcc99
VALI-c03-m163-g035,VALI-c03-m163-g035-natural-break-f02,03,163,35,True,natural_break_observed,2,2,0.8937177189870196,6784408b539d53beec8ff17afefec70a7851ee741378b3a81f162bd668c86e04,a5e8983cf472288e893ae51abfe69544ddc1b18bd1c8695407aec3bb55431ba7
VALI-c03-m163-g050,VALI-c03-m163-g050-natural-break-f14,03,163,50,True,natural_break_observed,14,14,0.8976251969235526,5c0048e90ba213af8683c2ac48f56d63c82bf7e5790f8053ff1a8233da3d242b,c299498990bb3376d91494c606afbba20ace1eb061fad45598b0af98f9fd0d43
VALI-c03-m163-g065,VALI-c03-m163-g065-natural-break-f06,03,163,65,True,natural_break_observed,6,6,0.8773750111542209,788b2039e5431c5b0d43afeb29132b6413963ac7b8f19f43ca1e495dfc479424,15cf1a72028d4d14a7badaae8df01bde5afab2867acc53566e06b0fbe349e3a7
VALI-c03-m163-g080,VALI-c03-m163-g080-natural-break-f06,03,163,80,True,natural_break_observed,6,6,0.8735555046022884,6e2aaaaa48ee1273922678c0936736b8277e4868ce885119939b73250182e1a9,38921f2b58231ccffb72187c0395ba1b42f354d7910327383107b26f23658817
