state_id,candidate,matrix_id,landmark,generation,mass,occupied_types,state_digest
VALI-c02-m119-g035,02,119,35,35,40,20,aee984e94a5e9593b53aee1d518fc5d466b2739d5fedddbe438a3ae729160c34
VALI-c02-m119-g050,02,119,50,50,40,21,026e97b7c3a94e24351c4bef86b2ede614f69512728302d8a3bd3ffb29d19a54
VALI-c02-m119-g065,02,119,65,65,40,22,e666fee9d1ded71afc47caaa08623a4c9b49fefa99b8f0a6ce2a926fcf331509
VALI-c02-m119-g080,02,119,80,80,40,19,f88848ed61883b4b5167b560d45bc968b9f421e17560a67cab029de07c74ccec
VALI-c03-m119-g020,03,119,20,20,42,16,1dfe1b480c63ecbd61e74c183022bb08659cf7e780b5d105e1561b2f7ac3e687
VALI-c03-m119-g035,03,119,35,35,41,25,1154f64bc8b152ecc6139b5034aa84c8c8457dd066f78022cc4343e56cfa68dc
VALI-c03-m119-g050,03,119,50,50,46,14,f2a3847cf84a4174161c0f9121723b8717ff9a4a127f9e60d043fb7307762acf
VALI-c03-m119-g065,03,119,65,65,41,20,5f60baae810fdfad89722e177555983d2965b67ddf1eab1ee10a48d035b42e2e
VALI-c03-m119-g080,03,119,80,80,39,21,d5cd607241e9311af5c97f2266b8f626b0a6abc7ed85e57cd8edd8861840313d
VALI-c02-m120-g020,02,120,20,20,40,7,dd2e49c584e1e207954268f38b12e27e1f6d10e158f0cbdccdd229eeeb58cc0a
VALI-c02-m120-g035,02,120,35,35,40,8,f0ca4060268fb7eb41850c50723a9036540e3b3f218cf991481c6a7c70cda7b2
VALI-c02-m120-g050,02,120,50,50,40,11,b44e0fdf2afe80dd7a855e4b6f362f0435851eb2dfa0b9fd9b80d000ddb8d874
VALI-c02-m120-g065,02,120,65,65,40,8,60f912ef9df7184f42665acc0ebdbdb33021bf61bdaedae2331cddaaf185dac5
VALI-c02-m120-g080,02,120,80,80,40,11,966bfac91ddceeac3df84c71e40c37d0abec196677f6d8edb6ce95373fb2eeb2
