substrate,rule,donor_id,arm,donor_kind,depths,final_leaves,final_success_count,final_success_rate
eca,11,eca-11-3-19,shuffled_half,switcher,"[{""depth"": 1, ""identity_rate"": 0.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 0.25, ""nodes"": 4, ""sibling_concordance"": 0.5, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 0.0, ""nodes"": 8, ""sibling_concordance"": 1.0, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 0.125, ""nodes"": 16, ""sibling_concordance"": 0.75, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.125, ""nodes"": 32, ""sibling_concordance"": 0.875, ""survivors"": 32}]",32,2,0.0625
eca,18,eca-18-12-12,intact,switcher,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 1.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 0.875, ""nodes"": 8, ""sibling_concordance"": 0.75, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 0.9375, ""nodes"": 16, ""sibling_concordance"": 0.875, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.9375, ""nodes"": 32, ""sibling_concordance"": 1.0, ""survivors"": 32}]",32,6,0.1875
eca,18,eca-18-12-12,complementary_half,switcher,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 1.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 0.875, ""nodes"": 8, ""sibling_concordance"": 0.75, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 0.9375, ""nodes"": 16, ""sibling_concordance"": 0.875, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.9375, ""nodes"": 32, ""sibling_concordance"": 0.875, ""survivors"": 32}]",32,8,0.25
eca,18,eca-18-12-12,shuffled_half,switcher,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 1.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 0.875, ""nodes"": 8, ""sibling_concordance"": 0.75, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 0.9375, ""nodes"": 16, ""sibling_concordance"": 0.875, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.90625, ""nodes"": 32, ""sibling_concordance"": 0.8125, ""survivors"": 32}]",32,7,0.21875
eca,18,eca-18-10-26,intact,switcher,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 0.75, ""nodes"": 4, ""sibling_concordance"": 0.5, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 0.625, ""nodes"": 8, ""sibling_concordance"": 0.25, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 0.625, ""nodes"": 16, ""sibling_concordance"": 0.75, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.71875, ""nodes"": 32, ""sibling_concordance"": 0.5625, ""survivors"": 32}]",32,3,0.09375
eca,18,eca-18-10-26,complementary_half,switcher,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 0.5, ""nodes"": 4, ""sibling_concordance"": 0.0, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 0.625, ""nodes"": 8, ""sibling_concordance"": 0.25, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 0.875, ""nodes"": 16, ""sibling_concordance"": 0.75, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.84375, ""nodes"": 32, ""sibling_concordance"": 0.6875, ""survivors"": 32}]",32,1,0.03125
eca,18,eca-18-10-26,shuffled_half,switcher,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 1.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 0.875, ""nodes"": 8, ""sibling_concordance"": 0.75, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 0.75, ""nodes"": 16, ""sibling_concordance"": 0.5, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.75, ""nodes"": 32, ""sibling_concordance"": 0.5, ""survivors"": 32}]",32,1,0.03125
eca,18,eca-18-13-45,intact,switcher,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 0.75, ""nodes"": 4, ""sibling_concordance"": 0.5, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 0.625, ""nodes"": 8, ""sibling_concordance"": 0.75, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 0.8125, ""nodes"": 16, ""sibling_concordance"": 0.625, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.78125, ""nodes"": 32, ""sibling_concordance"": 0.5625, ""survivors"": 32}]",32,5,0.15625
eca,18,eca-18-13-45,complementary_half,switcher,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 1.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 0.875, ""nodes"": 8, ""sibling_concordance"": 0.75, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 0.875, ""nodes"": 16, ""sibling_concordance"": 0.75, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.9375, ""nodes"": 32, ""sibling_concordance"": 0.875, ""survivors"": 32}]",32,7,0.21875
eca,18,eca-18-13-45,shuffled_half,switcher,"[{""depth"": 1, ""identity_rate"": 1.0, ""nodes"": 2, ""sibling_concordance"": 1.0, ""survivors"": 2}, {""depth"": 2, ""identity_rate"": 1.0, ""nodes"": 4, ""sibling_concordance"": 1.0, ""survivors"": 4}, {""depth"": 3, ""identity_rate"": 0.75, ""nodes"": 8, ""sibling_concordance"": 0.5, ""survivors"": 8}, {""depth"": 4, ""identity_rate"": 1.0, ""nodes"": 16, ""sibling_concordance"": 1.0, ""survivors"": 16}, {""depth"": 5, ""identity_rate"": 0.90625, ""nodes"": 32, ""sibling_concordance"": 0.8125, ""survivors"": 32}]",32,3,0.09375
