state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_RENEWAL_UP,q_all_RENEWAL_UP,q_half_A_RENEWAL_UP,q_half_B_RENEWAL_UP,prediction_RENEWAL_DOWN,q_all_RENEWAL_DOWN,q_half_A_RENEWAL_DOWN,q_half_B_RENEWAL_DOWN,prediction_RANDOM,q_all_RANDOM,q_half_A_RANDOM,q_half_B_RANDOM,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m004-g065-natural-break-f04,03,4,65,35,20,56,3064,0.9909812392199568,0.96875,1.0,0.9375,0.9484663954146071,0.984375,1.0,0.96875,0.9592079110148242,0.984375,1.0,0.96875,0.9582965320395871,1.0,1.0,1.0
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m004-g080-natural-break-f01,03,4,80,28,16,45,3697,0.9983727581541358,0.984375,0.96875,1.0,0.9390852678892361,0.90625,0.90625,0.90625,0.9660464279907136,0.90625,0.84375,0.96875,0.96223912293739,0.90625,0.875,0.9375
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m005-g020-natural-break-f03,02,5,20,40,21,39,1029,0.9613670366144537,1.0,1.0,1.0,0.9012002147963931,0.984375,0.96875,1.0,0.9214042593659375,0.96875,1.0,0.9375,0.9258004372038923,0.96875,0.9375,1.0
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m005-g035-natural-break-f06,02,5,35,40,27,50,1957,0.9629154956687758,1.0,1.0,1.0,0.9032569833190899,0.90625,0.90625,0.90625,0.9290894049899268,0.96875,1.0,0.9375,0.9330063020459112,0.984375,0.96875,1.0
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m005-g050-natural-break-f02,02,5,50,40,25,103,2542,0.9836052429975656,0.953125,0.9375,0.96875,0.8485172412346202,0.84375,0.875,0.8125,0.8864252271614281,0.828125,0.84375,0.8125,0.8714603909508728,0.90625,0.96875,0.84375
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m005-g065-natural-break-f01,02,5,65,40,19,66,3235,0.997473454704332,0.96875,0.96875,0.96875,0.952701933976254,0.859375,0.9375,0.78125,0.9633033295473816,0.96875,0.9375,1.0,0.9626733928948943,0.921875,0.90625,0.9375
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m005-g080-natural-break-f02,02,5,80,40,19,36,4014,0.9792136270769848,1.0,1.0,1.0,0.9479995929088111,1.0,1.0,1.0,0.9641120835622765,0.984375,0.96875,1.0,0.9627407849399353,1.0,1.0,1.0
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m005-g020-natural-break-f08,03,5,20,42,22,21,1023,0.926511034828653,0.859375,0.90625,0.8125,0.8543973417626612,0.90625,0.96875,0.84375,0.8680426343509771,0.90625,0.875,0.9375,0.868027764847942,0.859375,0.78125,0.9375
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m005-g035-natural-break-f11,03,5,35,32,21,30,1707,0.9715619960716132,1.0,1.0,1.0,0.9348601679831839,0.984375,1.0,0.96875,0.9578030056630464,1.0,1.0,1.0,0.956199459327771,1.0,1.0,1.0
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m005-g050-natural-break-f02,03,5,50,44,21,37,1984,0.9557292233154981,0.984375,0.96875,1.0,0.8966242907007975,0.96875,0.96875,0.96875,0.9183150766428116,0.984375,0.96875,1.0,0.9197849385845112,0.96875,0.96875,0.96875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m005-g065-natural-break-f14,03,5,65,31,20,40,2988,0.9455817328899554,0.953125,0.9375,0.96875,0.8730846947686317,0.78125,0.84375,0.71875,0.8965833921255081,0.859375,0.8125,0.90625,0.8916595976672055,0.859375,0.84375,0.875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m005-g080-natural-break-f27,03,5,80,40,24,47,4034,0.9534178556828404,0.9375,0.96875,0.90625,0.8740579529944091,0.9375,0.90625,0.96875,0.8896032024598417,0.875,0.84375,0.90625,0.9001877262905651,0.9375,0.90625,0.96875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m006-g020-natural-break-f06,02,6,20,40,24,50,1366,0.9881022916069392,1.0,1.0,1.0,0.9491646937582656,1.0,1.0,1.0,0.9629137715159812,0.984375,1.0,0.96875,0.9626595130528101,1.0,1.0,1.0
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m006-g035-natural-break-f02,02,6,35,40,24,62,2034,0.9966191558626488,1.0,1.0,1.0,0.9464722988187843,0.953125,0.96875,0.9375,0.9531482384534313,0.984375,1.0,0.96875,0.9570645654109132,0.984375,0.96875,1.0
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m006-g050-natural-break-f04,02,6,50,40,22,54,3056,0.9962510287677748,1.0,1.0,1.0,0.9495999760960502,0.96875,1.0,0.9375,0.9657476936333348,0.953125,0.9375,0.96875,0.9649739231327125,0.96875,0.96875,0.96875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m006-g065-natural-break-f27,02,6,65,40,25,49,5169,0.991742456215479,0.984375,1.0,0.96875,0.9228496838019615,0.984375,0.96875,1.0,0.9542261075282862,0.96875,0.96875,0.96875,0.9531691941567292,0.96875,0.9375,1.0
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m006-g080-natural-break-f03,02,6,80,40,28,75,4650,0.9655136086197763,0.984375,0.96875,1.0,0.8730416929488872,0.78125,0.75,0.8125,0.8964768482639544,0.796875,0.78125,0.8125,0.8918834102118219,0.796875,0.78125,0.8125
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m006-g020-natural-break-f30,03,6,20,38,26,65,2013,0.9889654717339406,0.984375,1.0,0.96875,0.9383159370610883,0.9375,0.90625,0.96875,0.9580641572259833,0.921875,0.90625,0.9375,0.9576209245197882,0.984375,1.0,0.96875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m006-g035-natural-break-f07,03,6,35,37,22,47,1451,0.9910686552315,0.96875,0.9375,1.0,0.9316007765100464,0.796875,0.75,0.84375,0.9543580118135959,0.90625,0.90625,0.90625,0.95607116787117,0.84375,0.84375,0.84375
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m006-g050-natural-break-f02,03,6,50,43,28,27,1865,0.9691697793163292,0.90625,0.90625,0.90625,0.9109979409649929,0.9375,0.90625,0.96875,0.9270188097026316,0.90625,0.90625,0.90625,0.9243779035424464,0.890625,0.84375,0.9375
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m006-g080-natural-break-f38,03,6,80,37,24,55,4744,0.9932743224910281,0.96875,1.0,0.9375,0.960714494896055,0.984375,0.96875,1.0,0.9929693418867678,1.0,1.0,1.0,0.9760218829995386,0.953125,0.9375,0.96875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m007-g020-natural-break-f06,02,7,20,40,24,26,649,0.9991948245268882,1.0,1.0,1.0,0.9842889589379087,1.0,1.0,1.0,0.9910295453395418,1.0,1.0,1.0,0.9908239996742997,1.0,1.0,1.0
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m007-g020-natural-break-f27,03,7,20,40,15,41,692,0.9999433308320933,1.0,1.0,1.0,0.9932058974258576,1.0,1.0,1.0,0.9968256580280844,1.0,1.0,1.0,0.9968942416047178,1.0,1.0,1.0
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m008-g020-natural-break-f10,02,8,20,40,23,54,1288,0.9983718955946439,0.96875,1.0,0.9375,0.9866192982038972,0.984375,1.0,0.96875,0.9915454589324135,1.0,1.0,1.0,0.9913931998091546,1.0,1.0,1.0
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m008-g080-natural-break-f58,02,8,80,40,16,50,5669,0.9995652138493601,1.0,1.0,1.0,0.9951189405566284,1.0,1.0,1.0,0.998068539604746,1.0,1.0,1.0,0.998816768437605,0.984375,1.0,0.96875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m008-g020-natural-break-f12,03,8,20,35,19,95,1062,0.9997409671372207,1.0,1.0,1.0,0.9929220495745363,1.0,1.0,1.0,0.9944876547024296,1.0,1.0,1.0,0.9944850514728465,1.0,1.0,1.0
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m008-g035-natural-break-f04,03,8,35,35,17,44,1327,0.9917855884469798,1.0,1.0,1.0,0.962230534838304,1.0,1.0,1.0,0.9679637739980029,0.984375,1.0,0.96875,0.9663469096385054,1.0,1.0,1.0
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m008-g050-natural-break-f13,03,8,50,43,24,32,2224,0.9982063270194351,1.0,1.0,1.0,0.9781359706034183,0.984375,1.0,0.96875,0.9835909891245809,0.96875,1.0,0.9375,0.9811454410093732,0.984375,1.0,0.96875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m008-g065-natural-break-f51,03,8,65,40,16,46,3526,0.9996205901758919,1.0,1.0,1.0,0.9916424649248183,1.0,1.0,1.0,0.9991672374048891,1.0,1.0,1.0,0.9991836376055442,1.0,1.0,1.0
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m008-g080-natural-break-f02,03,8,80,37,18,35,2925,0.9941881737035376,1.0,1.0,1.0,0.9743740916020429,1.0,1.0,1.0,0.9787280379265694,0.984375,0.96875,1.0,0.9798050074316329,0.96875,0.96875,0.96875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m010-g020-natural-break-f02,02,10,20,40,25,62,1064,0.9341837079017773,0.9375,0.96875,0.90625,0.8337372949228999,0.875,0.84375,0.90625,0.8375019395154479,0.9375,0.90625,0.96875,0.8723405994204356,0.90625,0.90625,0.90625
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m010-g035-natural-break-f03,02,10,35,40,24,67,1851,0.9603105463761109,0.953125,0.96875,0.9375,0.8748482291058867,0.953125,0.9375,0.96875,0.8837174598874401,0.921875,0.96875,0.875,0.9145269866225624,0.90625,0.9375,0.875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m010-g050-natural-break-f04,02,10,50,40,23,70,2597,0.979470106067766,0.984375,0.96875,1.0,0.9086367445768588,0.859375,0.84375,0.875,0.9346912370188317,0.9375,0.9375,0.9375,0.9314757056785554,0.9375,0.90625,0.96875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m010-g065-natural-break-f12,02,10,65,40,20,72,3653,0.9977565004945035,1.0,1.0,1.0,0.9710397706906939,0.890625,0.875,0.90625,0.9820103787315464,0.953125,0.9375,0.96875,0.9812450544020724,0.890625,0.875,0.90625
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c02-m010-g080-natural-break-f10,02,10,80,40,24,72,4219,0.9808130807965979,0.921875,0.9375,0.90625,0.8746102068813189,0.890625,0.875,0.90625,0.9149936297904762,0.921875,0.875,0.96875,0.913521146473277,0.90625,0.90625,0.90625
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m010-g020-natural-break-f04,03,10,20,35,22,59,1028,0.934044050109072,1.0,1.0,1.0,0.8564321738063657,0.859375,0.875,0.84375,0.8756500206612429,1.0,1.0,1.0,0.8730872291670511,0.953125,0.9375,0.96875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m010-g035-natural-break-f03,03,10,35,40,25,49,1467,0.9225259852069237,0.859375,0.9375,0.78125,0.8409403260918188,0.890625,0.90625,0.875,0.8855382139725401,0.875,0.875,0.875,0.8800906525958782,0.84375,0.8125,0.875
INTCR5R_SHARED_BREAK_RESILIENCE_CONFIRMATION_V1-c03-m010-g050-natural-break-f05,03,10,50,41,27,44,2076,0.9359442031553217,0.96875,0.96875,0.96875,0.8513005111254103,0.921875,0.875,0.96875,0.9037038457486937,0.890625,0.90625,0.875,0.907196272439069,0.90625,0.875,0.9375
