state_id,cohort,candidate,matrix_id,landmark,mass,previous_growth_steps,cumulative_growth_steps,q_all,q_half_A,q_half_B,prediction_h10,prediction_h10_state,prediction_h10_state_beta,prediction_h10_state_beta_interaction,prediction_state_only,prediction_beta_only,prediction_h10_beta
MECHCONF-c02-m113-g035,MECHCONF,02,113,35,40,39,1356,0.03125,0.0625,0.0,0.20791572772088898,0.20697776040454147,0.20695860909514496,0.19532599608019052,0.33247815437057004,0.3677300041779577,0.20844518633479064
MECHCONF-c02-m113-g050,MECHCONF,02,113,50,40,26,1838,0.015625,0.0,0.03125,0.1486554203195271,0.1083344670089854,0.10832319625281996,0.10467211852549867,0.11638143186877048,0.3677300041779577,0.1490623713563268
MECHCONF-c02-m113-g065,MECHCONF,02,113,65,40,27,2554,0.015625,0.0,0.03125,0.07047396448696978,0.046503144279332886,0.046497970798143745,0.04293094054673252,0.07200331421942445,0.3677300041779577,0.07068466009879872
MECHCONF-c02-m113-g080,MECHCONF,02,113,80,40,28,3071,0.046875,0.03125,0.0625,0.056902008754591234,0.051375278254698314,0.051369591949533853,0.04638512853286222,0.2091553144513753,0.3677300041779577,0.0570746198088385
MECHCONF-c03-m113-g020,MECHCONF,03,113,20,33,25,609,0.015625,0.03125,0.0,0.2796035030940561,0.15576520110919603,0.14848290686521287,0.16176509392165844,0.08594767382846102,0.4559980962064892,0.27320316052394067
MECHCONF-c03-m113-g035,MECHCONF,03,113,35,43,33,991,0.046875,0.0625,0.03125,0.2420874961092099,0.24857446564552726,0.23817730308516552,0.24938996698788474,0.4257709980634878,0.4559980962064892,0.23626427817394405
MECHCONF-c03-m113-g050,MECHCONF,03,113,50,34,23,1425,0.015625,0.0,0.03125,0.13256362161439825,0.13639801478531,0.1298818706951343,0.1330925819019782,0.280994273119821,0.4559980962064892,0.12892676136477532
MECHCONF-c03-m113-g065,MECHCONF,03,113,65,45,17,1785,0.0,0.0,0.0,0.07581718333569365,0.03512164571081513,0.03325745602304948,0.0357561839496782,0.0806009689183089,0.4559980962064892,0.07360504945946292
MECHCONF-c03-m113-g080,MECHCONF,03,113,80,33,37,2233,0.03125,0.03125,0.03125,0.08898790142424047,0.095692754897286,0.09091650277135441,0.09055488338652687,0.337876922032209,0.4559980962064892,0.08642742015940712
MECHCONF-c02-m114-g020,MECHCONF,02,114,20,40,57,1061,0.296875,0.375,0.21875,0.2958527543621439,0.2885493431425788,0.3101127270838393,0.27049165053712976,0.3045898619347544,0.27190105600799075,0.3124629716983768
MECHCONF-c02-m114-g035,MECHCONF,02,114,35,40,91,1818,0.265625,0.3125,0.21875,0.3989649429743481,0.36584919157504453,0.39002242047798136,0.3544000011740947,0.17295582337509882,0.27190105600799075,0.4179282832703619
MECHCONF-c02-m114-g050,MECHCONF,02,114,50,40,61,2719,0.109375,0.125,0.09375,0.42552831517772294,0.43967979581514144,0.46515306658514954,0.4028951258920638,0.4405374795915513,0.27190105600799075,0.4448198164296147
MECHCONF-c02-m114-g065,MECHCONF,02,114,65,40,44,3252,0.171875,0.15625,0.1875,0.18139161863150094,0.18282597980982154,0.19869515557946857,0.1704768273833812,0.34781080273270626,0.27190105600799075,0.19334006147946622
MECHCONF-c02-m114-g080,MECHCONF,02,114,80,40,95,3955,0.421875,0.34375,0.5,0.5246576743286362,0.5541738105188463,0.5794209580423503,0.5297188715473227,0.5306656235099552,0.27190105600799075,0.5441860985773734
MECHCONF-c03-m114-g020,MECHCONF,03,114,20,42,15,770,0.1875,0.21875,0.15625,0.22853365937559872,0.2206905490509925,0.24415641851246778,0.20310681314564916,0.20413621033208756,0.28416021505160743,0.2484946322032669
MECHCONF-c03-m114-g035,MECHCONF,03,114,35,44,38,1275,0.171875,0.125,0.21875,0.19251662386498242,0.16654221901624047,0.18562191330827102,0.1557648834046457,0.1287068471494871,0.28416021505160743,0.21018883726144125
MECHCONF-c03-m114-g050,MECHCONF,03,114,50,32,14,1862,0.234375,0.28125,0.1875,0.16012507356564762,0.16757205121991856,0.18674329217505842,0.15943522318761558,0.301465742893252,0.28416021505160743,0.17547001512552923
MECHCONF-c03-m114-g065,MECHCONF,03,114,65,47,17,2367,0.171875,0.125,0.21875,0.10474980746369458,0.0884358708282799,0.09963713441718157,0.0826843023222219,0.12145340798271842,0.28416021505160743,0.11551797214613821
MECHCONF-c03-m114-g080,MECHCONF,03,114,80,32,39,3018,0.1875,0.15625,0.21875,0.1867890085235468,0.18321198709058525,0.20373460285300715,0.1905331043788868,0.20752838776321045,0.28416021505160743,0.20406832456719995
MECHCONF-c02-m115-g020,MECHCONF,02,115,20,40,62,1127,0.1875,0.21875,0.15625,0.4279887029510842,0.44564650391633764,0.4286024336436534,0.3467012725267053,0.4562325233974416,0.3845487765955192,0.4141937622381141
