candidate,matrix_id,residence_length,start_support,durable_support,separation,residence_episodes,coherent_clusters,stable_forms,distinct_stable_forms,rule_survives
02,58,4,4,4,0.9,1178,145,5,1,False
02,58,4,8,4,0.8,1178,145,5,1,False
02,58,4,8,4,0.85,1178,145,5,1,False
02,58,4,8,4,0.9,1178,145,5,1,False
02,58,4,16,4,0.8,1178,145,5,1,False
02,58,4,16,4,0.85,1178,145,5,1,False
02,58,4,16,4,0.9,1178,145,5,1,False
02,58,8,4,4,0.8,64,4,0,0,False
02,58,8,4,4,0.85,64,4,0,0,False
02,58,8,4,4,0.9,64,4,0,0,False
02,58,8,8,4,0.8,64,4,0,0,False
02,58,8,8,4,0.85,64,4,0,0,False
02,58,8,8,4,0.9,64,4,0,0,False
02,58,8,16,4,0.8,64,4,0,0,False
02,58,8,16,4,0.85,64,4,0,0,False
02,58,8,16,4,0.9,64,4,0,0,False
02,58,16,4,4,0.8,0,0,0,0,False
02,58,16,4,4,0.85,0,0,0,0,False
02,58,16,4,4,0.9,0,0,0,0,False
02,58,16,8,4,0.8,0,0,0,0,False
02,58,16,8,4,0.85,0,0,0,0,False
02,58,16,8,4,0.9,0,0,0,0,False
02,58,16,16,4,0.8,0,0,0,0,False
02,58,16,16,4,0.85,0,0,0,0,False
02,58,16,16,4,0.9,0,0,0,0,False
02,25,4,4,4,0.8,1505,51,12,4,True
02,25,4,4,4,0.85,1505,51,12,4,True
02,25,4,4,4,0.9,1505,51,12,4,True
02,25,4,8,4,0.8,1505,51,12,4,True
02,25,4,8,4,0.85,1505,51,12,4,True
02,25,4,8,4,0.9,1505,51,12,4,True
02,25,4,16,4,0.8,1505,51,12,4,True
02,25,4,16,4,0.85,1505,51,12,4,True
02,25,4,16,4,0.9,1505,51,12,4,True
02,25,8,4,4,0.8,107,4,1,1,False
02,25,8,4,4,0.85,107,4,1,1,False
02,25,8,4,4,0.9,107,4,1,1,False
02,25,8,8,4,0.8,107,4,1,1,False
02,25,8,8,4,0.85,107,4,1,1,False
02,25,8,8,4,0.9,107,4,1,1,False
02,25,8,16,4,0.8,107,4,1,1,False
02,25,8,16,4,0.85,107,4,1,1,False
02,25,8,16,4,0.9,107,4,1,1,False
02,25,16,4,4,0.8,3,1,0,0,False
02,25,16,4,4,0.85,3,1,0,0,False
02,25,16,4,4,0.9,3,1,0,0,False
02,25,16,8,4,0.8,3,1,0,0,False
02,25,16,8,4,0.85,3,1,0,0,False
02,25,16,8,4,0.9,3,1,0,0,False
02,25,16,16,4,0.8,3,1,0,0,False
02,25,16,16,4,0.85,3,1,0,0,False
02,25,16,16,4,0.9,3,1,0,0,False
02,198,4,4,4,0.8,501,31,3,1,False
02,198,4,4,4,0.85,501,31,3,1,False
02,198,4,4,4,0.9,501,31,3,1,False
02,198,4,8,4,0.8,501,31,3,1,False
02,198,4,8,4,0.85,501,31,3,1,False
02,198,4,8,4,0.9,501,31,3,1,False
02,198,4,16,4,0.8,501,31,3,1,False
02,198,4,16,4,0.85,501,31,3,1,False
02,198,4,16,4,0.9,501,31,3,1,False
