candidate,matrix_id,kind,relation,source_lineage,target_lineage,h
02,11,strict,cross,60,12,0.05513655461737097
02,11,strict,cross,60,20,0.9850755268857556
02,11,strict,cross,60,24,0.06018666173741182
02,11,strict,cross,60,28,0.06142498545912995
02,11,strict,cross,60,31,0.06051548630116563
02,11,strict,cross,60,33,0.9806062893616535
02,11,strict,cross,60,47,0.9862233653525777
02,11,strict,cross,60,50,0.20450066540425524
02,11,strict,cross,60,52,0.9841170892025195
02,11,strict,cross,60,56,0.05670337333735102
02,11,strict,cross,60,57,0.05840158048755267
02,11,strict,cross,60,70,0.9880586748787397
02,11,strict,cross,60,73,0.06034611877852345
02,11,strict,cross,60,82,0.05999119788037889
02,11,strict,cross,60,84,0.059986943522286375
02,11,strict,cross,70,0,0.9919274961950122
02,11,strict,cross,70,8,0.9918046673759565
02,11,strict,cross,70,9,0.05455008494684189
02,11,strict,cross,70,10,0.9899033311270661
02,11,strict,cross,70,12,0.05078885627912914
02,11,strict,cross,70,20,0.9890909549281063
02,11,strict,cross,70,24,0.055611180020526244
02,11,strict,cross,70,28,0.05402791056554306
02,11,strict,cross,70,31,0.054794465620756044
02,11,strict,cross,70,33,0.9867554971641549
02,11,strict,cross,70,47,0.9867166976535635
02,11,strict,cross,70,50,0.2036438721109326
02,11,strict,cross,70,52,0.9809362256303485
02,11,strict,cross,70,56,0.05178051632718463
02,11,strict,cross,70,57,0.055747863055670616
02,11,strict,cross,70,60,0.9799924894340486
02,11,strict,cross,70,73,0.05582159458192801
02,11,strict,cross,70,82,0.05559732971417072
02,11,strict,cross,70,84,0.054332485795913904
02,11,strict,cross,73,0,0.01330956265879595
02,11,strict,cross,73,8,0.11994262683723317
02,11,strict,cross,73,9,0.9577969770105533
02,11,strict,cross,73,10,0.02445115428470578
02,11,strict,cross,73,12,0.9681831973635597
02,11,strict,cross,73,20,0.14392158202622973
02,11,strict,cross,73,24,0.9554734156585821
02,11,strict,cross,73,28,0.9680617410700804
02,11,strict,cross,73,31,0.9148319796733978
02,11,strict,cross,73,33,0.019114877252608922
02,11,strict,cross,73,47,0.012874873726551612
02,11,strict,cross,73,50,0.9802788646333691
02,11,strict,cross,73,52,0.014033288977361892
02,11,strict,cross,73,56,0.9725575375293827
02,11,strict,cross,73,57,0.9878843720828567
02,11,strict,cross,73,60,0.028236637491503333
02,11,strict,cross,73,70,0.09116424946920731
02,11,strict,cross,73,82,0.9758071509809748
02,11,strict,cross,73,84,0.9938460564017516
02,11,strict,cross,82,0,0.0013841118941307438
02,11,strict,cross,82,8,0.10799761235151656
02,11,strict,cross,82,9,0.9707430687094533
02,11,strict,cross,82,10,0.011620810923942786
02,11,strict,cross,82,12,0.9575845279932361
02,11,strict,cross,82,20,0.12885143361681883
02,11,strict,cross,82,24,0.9771723187086923
02,11,strict,cross,82,28,0.9754152968780687
02,11,strict,cross,82,31,0.9529979752822724
02,11,strict,cross,82,33,0.0077514796773287915
02,11,strict,cross,82,47,0.0015076767264245172
02,11,strict,cross,82,50,0.9711128656000455
02,11,strict,cross,82,52,0.004775488199414643
02,11,strict,cross,82,56,0.965055492484953
02,11,strict,cross,82,57,0.9833096321160824
02,11,strict,cross,82,60,0.021350817180904792
02,11,strict,cross,82,70,0.07989729650971075
02,11,strict,cross,82,73,0.9871214212453249
02,11,strict,cross,82,84,0.9894715139098554
02,11,strict,cross,84,0,0.09595779329371
02,11,strict,cross,84,8,0.20278635830059438
02,11,strict,cross,84,9,0.9431090127242088
02,11,strict,cross,84,10,0.09977540525241466
02,11,strict,cross,84,12,0.9757568078305986
02,11,strict,cross,84,20,0.22508209305595392
02,11,strict,cross,84,24,0.9524843439509786
02,11,strict,cross,84,28,0.9578864282128771
02,11,strict,cross,84,31,0.9071187969014226
02,11,strict,cross,84,33,0.10078436624406215
02,11,strict,cross,84,47,0.09587331438671177
02,11,strict,cross,84,50,0.9894257754346668
02,11,strict,cross,84,52,0.09342320563331907
02,11,strict,cross,84,56,0.9735274604545386
02,11,strict,cross,84,57,0.9801178232255813
02,11,strict,cross,84,60,0.10807275341669643
02,11,strict,cross,84,70,0.1729804551263967
