candidate,matrix_id,kind,relation,source_lineage,target_lineage,generation,h,comparison_complete
02,11,strict,stranger,8,57,4,0.02999475137772317,True
02,11,strict,stranger,8,57,5,0.0317291504378579,True
02,11,strict,stranger,8,57,6,0.05054345586744831,True
02,11,strict,stranger,8,57,7,0.05886995326082876,True
02,11,strict,stranger,8,57,8,0.05555898522840232,True
02,11,strict,stranger,8,73,1,0.019607843137254905,True
02,11,strict,stranger,8,73,2,0.027610512218752742,True
02,11,strict,stranger,8,73,3,0.02395664894066954,True
02,11,strict,stranger,8,73,4,0.30847977962273354,True
02,11,strict,stranger,8,73,5,0.4487477557275596,True
02,11,strict,stranger,8,73,6,0.3192307692307692,True
02,11,strict,stranger,8,73,7,0.6985954180685077,True
02,11,strict,stranger,8,73,8,0.26017930671104506,True
02,11,strict,stranger,8,82,1,0.037746589603308005,True
02,11,strict,stranger,8,82,2,0.0223670712799948,True
02,11,strict,stranger,8,82,3,0.020906050250177274,True
02,11,strict,stranger,8,82,4,0.03374409529993857,True
02,11,strict,stranger,8,82,5,0.09181982745294946,True
02,11,strict,stranger,8,82,6,0.11267347735824967,True
02,11,strict,stranger,8,82,7,0.09294253747854271,True
02,11,strict,stranger,8,82,8,0.09541300465126668,True
02,11,strict,stranger,8,84,1,0.10103425329381761,True
02,11,strict,stranger,8,84,2,0.5132235152503476,True
02,11,strict,stranger,8,84,3,0.2492083219207252,True
02,11,strict,stranger,8,84,4,0.1331310654844125,True
02,11,strict,stranger,8,84,5,0.13891559572288037,True
02,11,strict,stranger,8,84,6,0.049813548138671795,True
02,11,strict,stranger,8,84,7,0.027009495506799364,True
02,11,strict,stranger,8,84,8,0.029188972321078078,True
02,11,strict,stranger,9,0,1,0.06520506636966263,True
02,11,strict,stranger,9,0,2,0.05988291799320886,True
02,11,strict,stranger,9,0,3,0.13706466728608632,True
02,11,strict,stranger,9,0,4,0.06135084781935919,True
02,11,strict,stranger,9,0,5,0.17920687603889862,True
02,11,strict,stranger,9,0,6,0.040582062796472834,True
02,11,strict,stranger,9,0,7,0.8436931799049828,True
02,11,strict,stranger,9,0,8,0.9288228984486574,True
02,11,strict,stranger,9,8,1,0.056116844682050755,True
02,11,strict,stranger,9,8,2,0.10525286383944457,True
02,11,strict,stranger,9,8,3,0.022169370673705467,True
02,11,strict,stranger,9,8,4,0.04896513714325944,True
02,11,strict,stranger,9,8,5,0.19895929090398415,True
