rule,notation,strict,break_by_8,median_gen_sweeps,mean_survival,library_size,in_band,support_masks,n_futures,total_sweeps
30964,B3456/S24567,0.3515625,0.361328125,4.5,20.109375,2,True,13376|29760,512,115903
30989,B3456/S0238,0.0,0.044921875,4.0,32.0,6,False,20183|22175|23199|24158|30425|30927,512,68114
31008,B3456/S58,0.0,0.0,14.5,13.36328125,0,False,,512,65096
31024,B3456/S458,0.0,0.048828125,5.0,16.09375,2,False,139|32340,512,77068
31048,B3456/S368,0.0,0.033203125,5.0,14.265625,1,False,139,512,69262
31245,B13456/S023,0.0,0.009765625,4.0,32.0,2,False,30421|32350,512,65536
31476,B13456/S24567,0.060546875,0.40234375,4.0,31.462890625,1,True,13376,512,176639
31501,B13456/S0238,0.0,0.017578125,4.0,32.0,3,False,30421|31887|32469,512,65536
31648,B13456/S578,0.1171875,0.2578125,4.0,30.640625,5,True,2116|3604|6676|7700|10836,512,62752
31649,B13456/S0578,0.23828125,0.3125,4.0,28.62890625,4,True,2932|6964|7702|7764,512,58632
31657,B13456/S03578,0.0,0.380859375,4.0,32.0,1,False,32340,512,65536
31983,B23456/S0123567,0.0,0.064453125,4.0,32.0,2,False,21568|29760,512,79811
32257,B123456/S0,0.0,0.0,4.0,32.0,0,False,,512,65536
32314,B123456/S1345,0.0,0.0390625,4.0,32.0,3,False,24148|32276|32336,512,65536
32434,B123456/S1457,0.013671875,0.265625,4.0,31.748046875,2,True,30292|32340,512,65020
32442,B123456/S13457,0.0,0.001953125,4.0,32.0,1,False,31828,512,65536
32463,B123456/S012367,0.0,0.1171875,4.0,32.0,4,False,29812|32100|32340|32596,512,65536
32495,B123456/S0123567,0.001953125,0.099609375,4.0,31.9609375,2,False,28736|29760,512,78895
32714,B123456/S13678,0.0,0.34765625,4.0,32.0,4,False,30292|31828|32324|32336,512,65536
32744,B123456/S35678,0.0,0.38671875,4.0,22.74609375,2,False,21504|28736,512,398848
32746,B123456/S135678,0.0,0.328125,4.0,22.439453125,3,False,21568|25664|29696,512,394177
32960,B7/S67,0.0,0.017578125,29.5,1.904296875,1,False,139,512,57712
32964,B7/S267,0.0,0.001953125,30.0,1.83984375,1,False,11,512,56593
33051,B7/S01348,0.0,0.0,61.0,2.318359375,0,False,,512,87381
33139,B7/S014568,0.0,0.0,59.0,2.166015625,0,False,,512,83444
33350,B17/S126,0.0,0.013671875,4.0,32.0,1,False,667,512,102323
33472,B17/S67,0.0,0.0,4.0,31.939453125,0,False,,512,65416
33714,B17/S14578,0.0,0.005859375,4.0,32.0,1,False,2719,512,65536
33716,B17/S24578,0.0,0.0625,4.0,32.0,1,False,2719,512,65536
33718,B17/S124578,0.001953125,0.068359375,4.0,31.9609375,1,False,2703,512,119665
33792,B27/S,0.0,0.001953125,4.0,31.107421875,1,False,2191,512,64882
33862,B27/S126,0.0,0.0,4.0,32.0,1,False,2719,512,65594
33925,B27/S027,0.0,0.0,4.0,32.0,0,False,,512,65603
34111,B27/S0123458,0.056640625,0.115234375,4.0,30.544921875,3,True,2879|3005|11189,512,196412
34374,B127/S126,0.0,0.013671875,4.0,32.0,3,False,19103|19135|19167,512,65536
34891,B37/S0136,0.0,0.0,5.5,31.75,0,False,,512,75500
35701,B137/S024568,0.0,0.25,4.0,32.0,3,False,32213|32350|32628,512,65536
35956,B237/S2456,0.0,0.138671875,4.0,32.0,3,False,32340|32372|32628,512,65536
35958,B237/S12456,0.0,0.1015625,4.0,32.0,4,False,32348|32372|32500|32596,512,65536
36060,B237/S23467,0.021484375,0.09765625,4.0,31.73828125,7,True,7038|8053|11134|15958|16244|24181|27574,512,65039
36152,B237/S3458,0.0078125,0.125,4.0,31.90234375,3,True,16244|16245|16372,512,65336
36212,B237/S24568,0.0,0.169921875,4.0,32.0,3,False,32372|32596|32628,512,65536
36422,B1237/S126,0.0,0.23828125,4.0,32.0,3,False,23199|27295|28315,512,65536
36919,B47/S01245,0.0,0.0,34.5,25.673828125,0,False,,512,148653
37031,B47/S01257,0.0,0.0,38.0,25.111328125,0,False,,512,166206
37047,B47/S012457,0.0,0.001953125,36.0,26.568359375,1,False,143,512,155335
37056,B47/S67,0.0,0.0,29.0,1.607421875,0,False,,512,51324
37235,B47/S014568,0.0,0.0,51.0,14.68359375,0,False,,512,285621
37656,B147/S348,0.0,0.0,4.0,32.0,0,False,,512,65536
37747,B147/S014568,0.0,0.169921875,4.0,32.0,6,False,24283|29919|30430|31951|31959|32459,512,65536
37947,B247/S01345,0.0,0.1875,4.0,32.0,3,False,32348|32372|32596,512,65631
38059,B247/S01357,0.0,0.15234375,4.0,32.0,1,False,11199,512,65638
38075,B247/S013457,0.001953125,0.0625,4.0,31.9609375,3,False,32100|32372|32596,512,65551
38105,B247/S03467,0.0,0.162109375,4.0,32.0,2,False,32374|32628,512,65676
38470,B1247/S126,0.0,0.0078125,4.0,32.0,2,False,27871|28319,512,65536
38662,B1247/S128,0.001953125,0.01953125,4.0,31.958984375,3,False,23711|23759|24207,512,65452
38680,B1247/S348,0.00390625,0.111328125,4.0,31.94140625,2,False,24223|24287,512,65416
38726,B1247/S1268,0.0,0.013671875,4.0,32.0,2,False,31439|31951,512,65536
38917,B347/S02,0.0,0.001953125,4.0,29.83203125,1,False,139,512,229620
38919,B347/S012,0.0,0.005859375,4.5,31.875,1,False,3007,512,68951
38983,B347/S0126,0.0,0.001953125,4.5,31.9375,1,False,19391,512,68060
39010,B347/S156,0.0,0.041015625,5.5,11.087890625,1,False,139,512,89410
