cohort,implementation,role,candidate,half,model,log_loss_nats,brier,overall_spearman,matrix_centered_spearman,states,branches
codex_headline,independent_test_1_codex,secondary_headline,02,B,direct,0.5657290026903613,0.19252255062160187,0.6925712736418055,0.3186796656705669,200,6400
codex_headline,independent_test_1_codex,secondary_headline,02,B,composite,0.5304831883134615,0.18015625686345416,0.8184534736931909,0.5616403800062284,200,6400
codex_headline,independent_test_1_codex,secondary_headline,02,B,markov,0.6365243379263322,0.22199889847215754,0.3011065466476339,0.23053030787142484,200,6400
codex_headline,independent_test_1_codex,secondary_headline,02,B,semimarkov,0.6216156787368691,0.21452833913397498,0.36840792666177014,0.2488835247811178,200,6400
codex_headline,independent_test_1_codex,secondary_headline,02,B,lagged,0.5620643535842547,0.19241737715632531,0.6991532413478543,0.19189533486460092,200,6400
codex_headline,independent_test_1_codex,secondary_headline,03,A,direct,0.5852810545687789,0.20318950583233814,0.7251240591752129,0.2763368374492303,200,6400
codex_headline,independent_test_1_codex,secondary_headline,03,A,composite,0.5502534613677939,0.18797522087686325,0.8428192801064126,0.6074496488229933,200,6400
codex_headline,independent_test_1_codex,secondary_headline,03,A,markov,0.6655950246255962,0.23628848906107044,0.36389673289061947,0.25584294700048565,200,6400
codex_headline,independent_test_1_codex,secondary_headline,03,A,semimarkov,0.6457531361522885,0.22655806937593703,0.4203719015963447,0.12570157599152687,200,6400
codex_headline,independent_test_1_codex,secondary_headline,03,A,lagged,0.5806637872268666,0.2011847602386262,0.7353385660869608,0.3129099367246493,200,6400
codex_headline,independent_test_1_codex,secondary_headline,03,B,direct,0.5782054776151206,0.20002497402853542,0.7184292633103856,0.2653320270564223,200,6400
codex_headline,independent_test_1_codex,secondary_headline,03,B,composite,0.5433167102934511,0.18574722990781883,0.8360593247570456,0.613980928592059,200,6400
codex_headline,independent_test_1_codex,secondary_headline,03,B,markov,0.6634923933537634,0.23523683078179386,0.37254223555266386,0.28203123447780065,200,6400
codex_headline,independent_test_1_codex,secondary_headline,03,B,semimarkov,0.6338881809628846,0.22103302734003236,0.4360083800970515,0.189848955958988,200,6400
codex_headline,independent_test_1_codex,secondary_headline,03,B,lagged,0.57088613409733,0.19690021673961217,0.7443920324778494,0.34382349559872516,200,6400
