cell,candidate,branch_half,matrix_id,mean_state_spearman,slope_numerator,slope_denominator,states
c02_B,02,B,33,0.57814395284972242,0.12441358597088616,0.079117735893256463,5
c02_B,02,B,34,0.27589509708462623,0.039622350283748289,0.079875056425539756,5
c02_B,02,B,35,0.42598383801794409,0.14045055652643526,0.25334059247277008,5
c02_B,02,B,36,0.12263974723931743,0.068349572303040174,0.096605904276764881,5
c02_B,02,B,37,0.39232553747217325,0.067425799688819052,0.078930901847625412,5
c02_B,02,B,38,0,0,0.00031365206809524752,5
c02_B,02,B,39,-0.048299830002687137,0.059100197519921301,0.051421590627937115,5
c02_B,02,B,40,0.51714566584641442,0.084391987238951999,0.065390192014123855,5
c02_B,02,B,41,0.53298233749971979,0.17899539005295886,0.15815739416845931,5
c02_B,02,B,42,0.24698817429805525,0.07081053231421261,0.059661206412709777,5
c02_B,02,B,43,0.57997681367367215,0.074450698436606011,0.052868101322550383,5
c02_B,02,B,44,0.3618121317892119,0.054404070755232889,0.11853934748425012,5
c02_B,02,B,45,0.48996894246846301,0.066539487314177803,0.061114443662940651,5
c02_B,02,B,46,0.48317030046066128,0.078190204199155483,0.059914408158984078,5
c02_B,02,B,47,0.52991723941351276,0.039581663306296769,0.031050739199872342,5
c02_B,02,B,48,-0.2893904136449531,-0.011317654974785426,0.019570486056409205,5
c02_B,02,B,49,0.17831080213419992,0.017211087361499532,0.023886910492978197,5
c02_B,02,B,50,0.37466926231026643,0.00087209528030015606,0.0019402984133405693,5
c02_B,02,B,51,0.42893275675189446,0.12254696439742027,0.075650510261241977,5
c02_B,02,B,52,0.37258459767367835,0.073527115555499872,0.062046958798899619,5
c02_B,02,B,53,0.68242997153486873,0.09982816896612047,0.038622706478275502,5
c02_B,02,B,54,0.12506420691597439,0.066033866834854682,0.14400102089985325,5
c02_B,02,B,55,0.59174117461665487,0.19657265304401753,0.11611629892242223,5
c02_B,02,B,56,0.23240235012772475,0.014159378018631562,0.090866917696275931,5
