state_id,candidate,matrix_id,landmark,arm,empirical_quantile,legal_edit_count,selected_rank_zero_based,remove_type,add_type,noop_predicted_probability,predicted_probability,predicted_shift_from_noop
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g065,03,1,65,Q40,0.40000000000000002,891,356,15,62,0.098132294564766881,0.10013846324023981,0.0020061686754729302
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g065,03,1,65,Q60,0.59999999999999998,891,534,15,48,0.098132294564766881,0.11034607049501854,0.012213775930251664
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g065,03,1,65,Q80,0.80000000000000004,891,712,76,93,0.098132294564766881,0.11590541581458731,0.017773121249820431
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g065,03,1,65,Q100,1,891,890,87,6,0.098132294564766881,0.27289036891944457,0.17475807435467769
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g080,03,1,80,Q00,0,2772,0,96,87,0.53119896568918212,0.404982571743569,-0.12621639394561313
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g080,03,1,80,Q20,0.20000000000000001,2772,554,98,38,0.53119896568918212,0.52602141618337106,-0.0051775495058110632
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g080,03,1,80,Q40,0.40000000000000002,2772,1108,30,10,0.53119896568918212,0.5306981175998039,-0.00050084808937822523
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g080,03,1,80,Q60,0.59999999999999998,2772,1663,6,95,0.53119896568918212,0.53464431662275569,0.0034453509335735655
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g080,03,1,80,Q80,0.80000000000000004,2772,2217,85,94,0.53119896568918212,0.5392305112659137,0.0080315455767315802
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m001-g080,03,1,80,Q100,1,2772,2771,12,69,0.53119896568918212,0.57600359705917226,0.044804631369990133
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g020,02,2,20,Q00,0,1485,0,24,96,0.25740349817654101,0.20311134481362178,-0.054292153362919232
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g020,02,2,20,Q20,0.20000000000000001,1485,297,57,13,0.25740349817654101,0.26057042966453009,0.0031669314879890775
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g020,02,2,20,Q40,0.40000000000000002,1485,594,14,72,0.25740349817654101,0.27037183326125347,0.012968335084712457
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g020,02,2,20,Q60,0.59999999999999998,1485,890,41,25,0.25740349817654101,0.27693756125520858,0.019534063078667563
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g020,02,2,20,Q80,0.80000000000000004,1485,1187,26,47,0.25740349817654101,0.28421155881661786,0.026808060640076847
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g020,02,2,20,Q100,1,1485,1484,43,0,0.25740349817654101,0.48356379995104465,0.22616030177450364
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g035,02,2,35,Q00,0,1485,0,88,43,0.14826506210177501,0.1073599758587802,-0.040905086242994812
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g035,02,2,35,Q20,0.20000000000000001,1485,297,76,14,0.14826506210177501,0.14869232661898829,0.00042726451721328274
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g035,02,2,35,Q40,0.40000000000000002,1485,594,41,6,0.14826506210177501,0.15378062349636498,0.005515561394589974
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g035,02,2,35,Q60,0.59999999999999998,1485,890,98,38,0.14826506210177501,0.15953579330604165,0.011270731204266637
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g035,02,2,35,Q80,0.80000000000000004,1485,1187,10,23,0.14826506210177501,0.16543417358829773,0.017169111486522726
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g035,02,2,35,Q100,1,1485,1484,96,0,0.14826506210177501,0.1990061217866417,0.050741059684866696
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m002-g050,02,2,50,Q00,0,1188,0,61,43,0.13273965685342201,0.058445285964388451,-0.074294370889033567
