scope,cell,candidate,branch_half,matrix_id,fable_effect,small_effect,fable_random_minus_noop,small_random_minus_noop,fable_loosen_minus_noop,noop_minus_fable_tighten,fable_minus_small_effect
landmark60,c03_A,03,A,53,-0.0625,-0.25,0.3125,0.0625,0.375,-0.4375,0.1875
landmark60,c03_A,03,A,54,0.25,0.1875,0.4375,0.25,0.375,-0.125,0.0625
landmark60,c03_A,03,A,55,0.125,0.0625,0.125,0.0,0.0,0.125,0.0625
landmark60,c03_A,03,A,56,0.25,-0.125,-0.125,-0.125,0.0625,0.1875,0.375
landmark60,c03_A,03,A,57,-0.0625,0.25,0.0625,-0.1875,-0.0625,0.0,-0.3125
landmark60,c03_A,03,A,58,0.0,0.125,-0.1875,-0.0625,0.0,0.0,-0.125
landmark60,c03_A,03,A,59,-0.0625,-0.0625,-0.25,0.1875,-0.1875,0.125,0.0
landmark60,c03_A,03,A,60,0.0625,0.0,-0.0625,-0.0625,0.0,0.0625,0.0625
landmark60,c03_A,03,A,61,0.125,0.0,-0.1875,0.0,0.0,0.125,0.125
landmark60,c03_A,03,A,62,0.25,0.0,0.125,0.0625,0.3125,-0.0625,0.25
landmark60,c03_A,03,A,63,0.0,0.0625,0.0,0.0,-0.1875,0.1875,-0.0625
landmark60,c03_A,03,A,64,0.375,0.0625,-0.3125,-0.1875,0.0625,0.3125,0.3125
landmark60,c03_A,03,A,65,0.3125,0.0,0.0625,0.0625,0.3125,0.0,0.3125
landmark60,c03_A,03,A,66,0.0,-0.0625,0.0,0.0,0.0,0.0,0.0625
landmark60,c03_A,03,A,67,0.25,0.25,-0.0625,-0.0625,0.125,0.125,0.0
landmark60,c03_A,03,A,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
landmark60,c03_A,03,A,69,0.0625,0.3125,0.0625,0.1875,0.25,-0.1875,-0.25
landmark60,c03_A,03,A,70,-0.0625,-0.0625,0.25,0.125,0.0625,-0.125,0.0
landmark60,c03_A,03,A,71,0.1875,0.1875,-0.125,0.25,0.0625,0.125,0.0
landmark60,c03_A,03,A,72,0.0625,0.0,0.0625,0.0,0.0625,0.0,0.0625
landmark60,c03_A,03,A,73,0.125,0.0625,0.0,0.125,0.1875,-0.0625,0.0625
landmark60,c03_A,03,A,74,0.125,0.25,0.125,0.125,0.1875,-0.0625,-0.125
landmark60,c03_A,03,A,75,0.125,0.125,0.125,0.125,0.5,-0.375,0.0
landmark60,c03_A,03,A,76,0.5,0.0,-0.0625,0.0,0.375,0.125,0.5
