mechanism,candidate,matrix_id,landmark,main_attempt,launch_mass,launch_occupied,launch_entropy,source_throughput,active_throughput,q_f12,q_f12_A,q_f12_B,q_break_f12,mean_inherited_f12,survival_f12,mean_growth_updates_f12,mean_final_entropy_f12,mean_final_occupied_f12,q_break_f32,q_run8_f32,q_strict_all8,q_strict_all8_A,q_strict_all8_B,q_strict_first5,q_strict_centroid,survival_f32,frozen_direct,frozen_full,frozen_outside_5sd,crossfit_h10,crossfit_h10_state
COUPLING_DERANGED,02,46,50.0,0.0,40.0,19.6,2.632141759514469,62.53497802679051,112.99437705809225,0.471875,0.475,0.46875,0.859375,9.45625,1.0,568.4875,2.7379067195154376,21.43125,0.99375,0.60625,0.021875,0.03125,0.0125,0.1,0.059375,1.0,0.5850803281032538,0.5185737397899702,0.0,0.6281116496422336,0.6313377355006556
COUPLING_DERANGED,02,47,50.0,0.0,40.0,19.2,2.498627216975411,150.692074414346,17.017765923060455,0.4,0.425,0.375,0.55,10.990625,1.0,428.009375,2.3994591474123528,18.125,0.890625,0.709375,0.05625,0.04375,0.06875,0.1625,0.103125,1.0,0.3791589628502133,0.5870414039894646,0.0,0.4386031309670059,0.43866535389284184
COUPLING_DERANGED,02,48,50.0,0.0,40.0,8.8,1.2211807128355885,4703.413406987147,10.368589216263754,0.265625,0.23125,0.3,0.403125,11.340625,1.0,321.40625,2.018049973093228,15.26875,0.60625,0.5,0.228125,0.20625,0.25,0.275,0.25,1.0,0.08719871618799663,0.10512501419873181,0.4,0.27755718565304155,0.21258135008553203
COUPLING_DERANGED,02,49,50.0,0.0,40.0,20.2,2.5723394778400146,172.7447267975218,13.315219196589755,0.625,0.6125,0.6375,0.71875,10.675,1.0,599.921875,2.5414443725845497,19.628125,0.896875,0.790625,0.0125,0.00625,0.01875,0.1625,0.18125,1.0,0.379004051130161,0.47178175187132537,0.0,0.5075927164792954,0.5244123760681764
COUPLING_DERANGED,02,50,50.0,0.0,40.0,15.6,2.314851510461208,410.39979674628677,8.720177522815229,0.471875,0.475,0.46875,0.628125,10.83125,1.0,467.109375,2.468979868498036,17.40625,0.878125,0.765625,0.003125,0.00625,0.0,0.05,0.1625,1.0,0.11816876498701576,0.2260358672464183,0.0,0.3497700333913146,0.33646020058292114
COUPLING_DERANGED,02,51,50.0,0.0,40.0,25.6,3.0519198030087544,38.712176351478924,12.30479566569739,0.43125,0.5,0.3625,1.0,4.496875,1.0,818.0125,3.076026068829196,25.853125,1.0,0.053125,0.0,0.0,0.0,0.0,0.0,1.0,0.8552863616176106,0.8485863315398035,0.8,0.6662090836522649,0.6781754519458346
COUPLING_DERANGED,02,52,50.0,0.0,40.0,24.4,2.974700867939272,108.9659911198861,20.73510934378974,0.6,0.61875,0.58125,0.81875,9.678125,1.0,497.996875,2.6321993413985654,20.76875,0.99375,0.784375,0.028125,0.0125,0.04375,0.146875,0.1,1.0,0.6398283526278851,0.6717988833515527,0.2,0.6170142542031116,0.64918441418308
COUPLING_DERANGED,02,53,50.0,0.0,40.0,21.6,2.7854165061482568,103.38598467514598,7.494917950755257,0.71875,0.71875,0.71875,0.98125,6.64375,1.0,733.09375,2.7994010308876525,22.15625,0.990625,0.884375,0.0,0.0,0.0,0.025,0.296875,1.0,0.5694106162389257,0.6683494192822699,0.0,0.5302006320644524,0.5650862480877151
COUPLING_DERANGED,02,54,50.0,0.0,40.0,22.2,2.8383767825025124,104.02611831011936,17.155942537955376,0.690625,0.64375,0.7375,0.81875,9.521875,1.0,621.053125,2.630389572146672,20.540625,0.984375,0.79375,0.040625,0.04375,0.0375,0.14375,0.196875,1.0,0.5735647178601899,0.6687738229505363,0.0,0.6021296430046813,0.6340388365469372
COUPLING_DERANGED,02,55,50.0,0.0,40.0,12.6,1.8068842773752418,1847.2052713674475,2.048927858626377,0.090625,0.05625,0.125,0.103125,11.86875,1.0,387.996875,1.8638558658811117,13.14375,0.1875,0.15,0.04375,0.025,0.0625,0.096875,0.109375,1.0,0.09768241224739663,0.26117985719521847,0.0,0.3147839334248787,0.27783534438538354
COUPLING_DERANGED,02,56,50.0,0.0,40.0,17.4,2.2656279752569164,457.43138996024453,30.042398207029077,0.728125,0.725,0.73125,0.803125,10.25625,1.0,488.028125,2.489248511749114,19.278125,0.84375,0.8375,0.14375,0.1625,0.125,0.4375,0.55625,1.0,0.15693170523902036,0.23712093587736863,0.0,0.37168014934911053,0.3682101443078013
COUPLING_DERANGED,02,57,50.0,0.0,40.0,19.6,2.5523167204695802,676.7870620142011,7.188988301613469,0.540625,0.5375,0.54375,0.771875,9.721875,1.0,580.428125,2.587861166445813,20.484375,0.99375,0.678125,0.0375,0.0375,0.0375,0.146875,0.109375,1.0,0.557487802596311,0.6713957665839658,0.0,0.5907824466121854,0.6007771119966492
COUPLING_DERANGED,02,58,50.0,0.0,40.0,24.6,3.037364644707136,34.44112287087306,7.333902728716337,0.5,0.41875,0.58125,0.99375,5.60625,1.0,973.71875,3.0363135667314487,25.475,1.0,0.24375,0.0,0.0,0.0,0.003125,0.00625,1.0,0.8681496376663944,0.8492954050476366,0.6,0.6959773315824507,0.7282196595702061
COUPLING_DERANGED,02,59,50.0,0.0,40.0,12.4,1.687585011710167,2051.6218475307587,31.544309739564664,0.38125,0.3875,0.375,0.484375,11.071875,1.0,500.2875,2.1673235579132615,16.33125,0.8,0.684375,0.096875,0.1,0.09375,0.328125,0.234375,1.0,0.19654171973473508,0.2572250564098989,0.0,0.3772822179010997,0.34210986077381345
COUPLING_DERANGED,02,60,50.0,0.0,40.0,21.6,2.733321456925534,197.29328957359652,18.888851245626398,0.2875,0.275,0.3,0.3375,11.578125,1.0,459.846875,2.4229926497430165,17.20625,0.65,0.546875,0.0,0.0,0.0,0.003125,0.0875,1.0,0.2751221775203564,0.4312926960459878,0.0,0.4631139718577805,0.486595378585684
COUPLING_DERANGED,02,61,50.0,0.0,40.0,20.4,2.6994913364927973,122.2714236173912,19.39283859043403,0.571875,0.55625,0.5875,0.728125,10.278125,1.0,498.196875,2.6126773674507775,19.946875,0.953125,0.809375,0.01875,0.0125,0.025,0.128125,0.128125,1.0,0.497122416874525,0.5465061971617395,0.0,0.5167969919603108,0.5393862618597578
COUPLING_DERANGED,02,62,50.0,0.0,40.0,16.8,2.3923234734485677,307.4230550903672,33.35231318807876,0.45,0.4375,0.4625,0.546875,11.1,1.0,477.1875,2.5238737979098307,18.45,0.871875,0.725,0.0,0.0,0.0,0.015625,0.071875,1.0,0.3114873340774353,0.3884461557149529,0.0,0.4960509191666265,0.49102391944957846
