state_id,cohort,candidate,matrix_id,landmark,mass,previous_growth_steps,cumulative_growth_steps,q_all,q_half_A,q_half_B,prediction_beta_only,prediction_h10,prediction_h10_beta,prediction_h10_duplicate_corrected,prediction_h10_state,prediction_h10_state_beta,prediction_h10_state_beta_interaction,prediction_h8,prediction_ridge_h10,prediction_ridge_h10_duplicate,prediction_state_only,prediction_legacy_prior,prediction_legacy_h9,prediction_legacy_beta,prediction_legacy_full
MECHCONF-c02-m129-g035,MECHCONF,02,129,35,40,88,2005,0.6875,0.71875,0.65625,0.17411641027294977,0.6168135422180674,0.63218273207454,0.6168135723398218,0.6354045293923938,0.6460894761734598,0.6030411628501069,0.4545680705813692,0.6146071770118102,0.6146154470142625,0.5723465552640797,0.34825,0.45370753649906637,0.20405326299430215,0.6559106177968529
MECHCONF-c02-m129-g050,MECHCONF,02,129,50,40,39,2674,0.34375,0.3125,0.375,0.17411641027294977,0.29070238159655704,0.30161935597690925,0.29070249741528836,0.30717520903385054,0.31923231460387713,0.2581790891492289,0.2627633679250883,0.2921923791282846,0.29227315783202296,0.25942123432356473,0.34825,0.2640128909641692,0.20405326299430215,0.22174241187744254
MECHCONF-c02-m129-g065,MECHCONF,02,129,65,40,55,3674,0.46875,0.40625,0.53125,0.17411641027294977,0.43134021970065295,0.45277943317351105,0.43134038631593413,0.5210541842122901,0.5326729467088381,0.47058310632007583,0.3492945177322988,0.43320898891956716,0.4332942144445912,0.5071870223551097,0.34825,0.35079082326453176,0.20405326299430215,0.5384104990682087
MECHCONF-c02-m129-g080,MECHCONF,02,129,80,40,58,4509,0.640625,0.5625,0.71875,0.17411641027294977,0.6838853598814307,0.6995405892427916,0.6838854327697259,0.6790048576706447,0.6932665644463488,0.678765373727952,0.6335665345569333,0.6823592878642116,0.6824481415509344,0.7079921778182335,0.34825,0.6331694824094999,0.20405326299430215,0.6705293469156259
MECHCONF-c03-m129-g020,MECHCONF,03,129,20,45,46,908,0.6875,0.625,0.75,0.2104998677703528,0.43758984520615823,0.4506584642295086,0.4375902020076716,0.46174700004266733,0.47289999917561837,0.5126301678825194,0.38356999367388,0.44172964739417053,0.44183816165428613,0.47599399606271225,0.38684375,0.3880456113399336,0.23179543645648093,0.5677180797298886
MECHCONF-c03-m129-g035,MECHCONF,03,129,35,43,56,1494,0.78125,0.8125,0.75,0.2104998677703528,0.47548302272587806,0.4988561932984882,0.4754829876374586,0.5792994603962506,0.5822589625153666,0.6628520678822901,0.39432120186523517,0.47458735461525964,0.47463799734589596,0.5859516849442785,0.38684375,0.39328035531016137,0.23179543645648093,0.6543501744200463
MECHCONF-c03-m129-g050,MECHCONF,03,129,50,37,45,1946,0.265625,0.21875,0.3125,0.2104998677703528,0.30241677950667534,0.32393154673564095,0.3024165964324861,0.1631206605414694,0.17335978481796419,0.05208962762591667,0.24053728680885922,0.30210303902587765,0.30208984251020127,0.08048319460449867,0.38684375,0.2402457917414823,0.23179543645648093,0.04571065080585589
MECHCONF-c03-m129-g065,MECHCONF,03,129,65,33,60,2548,0.625,0.53125,0.71875,0.2104998677703528,0.7189121147110509,0.7276324911736043,0.7189121801492782,0.686910480192002,0.6910309835707599,0.6784780390452133,0.6617751953184053,0.7182570929501771,0.7181975765846769,0.6318721460047838,0.38684375,0.6608324360836716,0.23179543645648093,0.6507729238845731
MECHCONF-c03-m129-g080,MECHCONF,03,129,80,39,65,3245,0.578125,0.625,0.53125,0.2104998677703528,0.7260548922039158,0.7442691700261219,0.7260549235469537,0.7126981585429871,0.7253619645767281,0.5240096910902172,0.6462258981773562,0.7237283169161527,0.7237017945563987,0.6836410569203333,0.38684375,0.6431858410524753,0.23179543645648093,0.5413702563459997
MECHCONF-c02-m130-g020,MECHCONF,02,130,20,40,19,956,0.53125,0.5,0.5625,0.3962271262954916,0.38145486386041755,0.3732555447254119,0.381454865537836,0.5240226927250303,0.505799821130547,0.4743013307328669,0.4596279402615176,0.3802674635887826,0.3803429161234822,0.5694355509930974,0.34825,0.45886673084217666,0.40944819169836677,0.46153090023201965
