source_cohort,candidate,half,metric,estimate,ci95_lower,ci95_upper,median,q05,q95,events,matrices
MECHCONF,02,B,first_last_daughter_similarity,0.6874139383210577,0.6821367953067641,0.6929877028526132,0.7158747681033282,0.3669173219421978,0.907299476979462,11408,200
MECHCONF,02,B,minimum_pairwise_daughter_similarity,0.6817477830524897,0.6759852964927516,0.6871558057653429,0.7105279402250719,0.3637897565564075,0.8988358321277491,11408,200
MECHCONF,02,B,mean_pairwise_daughter_similarity,0.7792774067168918,0.7760004233061557,0.7827396353820083,0.792975806906494,0.583667800420112,0.9258627542316378,11408,200
MECHCONF,02,B,maximum_anchor_similarity,0.6817822140577812,0.6718168743233845,0.691729254305202,0.7201213679461711,0.3390196222162692,0.9029051533509805,11408,200
MECHCONF,02,B,mean_anchor_similarity,0.589241319175064,0.5781478203040273,0.6000234842509273,0.6119089942325077,0.25801702214701544,0.843311181563046,11408,200
MECHCONF,02,B,onset_parent_to_final_daughter_similarity,0.7048171056757203,0.6990705367266855,0.7105751405629379,0.7366151720599085,0.3793167416661492,0.9178340450410233,11408,200
MECHCONF,02,B,observed_inherited_run_length,6.002366760168303,5.8886894044218145,6.11754214690818,6.0,3.0,11.0,11408,200
MECHCONF,02,B,persistence_5_resolved,0.7746998104065725,0.753082052936041,0.7969801490113647,1.0,0.0,1.0,9494,200
MECHCONF,02,B,persistence_5_right_censored,0.16777699859747547,0.16049132093262658,0.17540395159503766,0.0,0.0,1.0,11408,200
MECHCONF,02,B,later_break_observed,0.3501928471248247,0.3221447641081177,0.37521697683713695,0.0,0.0,1.0,11408,200
MECHCONF,02,B,second_renewal_after_later_break_observed,0.10334852734922861,0.09553384267380308,0.11142873787693383,0.0,0.0,1.0,11408,200
MECHCONF,03,combined,first_last_daughter_similarity,0.7016511580427189,0.6966397832097015,0.7066004776178513,0.7315151087271635,0.37939414270398664,0.9179278954340205,25494,200
MECHCONF,03,combined,minimum_pairwise_daughter_similarity,0.6959769366868863,0.6909957214539874,0.7009299041889049,0.725777543931171,0.376913011660157,0.911130046808483,25494,200
MECHCONF,03,combined,mean_pairwise_daughter_similarity,0.7906040519714583,0.7874902702648623,0.7938679201584927,0.8047645880619452,0.5952228818650763,0.9356124129490554,25494,200
MECHCONF,03,combined,maximum_anchor_similarity,0.672893828469624,0.663616971020281,0.68223041594818,0.7108870947676653,0.31970362699940086,0.9078110079055318,25494,200
MECHCONF,03,combined,mean_anchor_similarity,0.5832949969571045,0.5727420420650625,0.5937708717353378,0.6072009765693763,0.24515443352403496,0.849476467524154,25494,200
MECHCONF,03,combined,onset_parent_to_final_daughter_similarity,0.7180100561540264,0.712794749319241,0.723141691707172,0.7503050110255644,0.3911871712763193,0.9289194750563567,25494,200
MECHCONF,03,combined,observed_inherited_run_length,5.930885698595748,5.829325500936835,6.038564601506624,5.0,3.0,11.0,25494,200
MECHCONF,03,combined,persistence_5_resolved,0.7601354529207036,0.7404154483373587,0.7800079089937717,1.0,0.0,1.0,21262,200
MECHCONF,03,combined,persistence_5_right_censored,0.16599984310033733,0.15894152984580265,0.17308935800394137,0.0,0.0,1.0,25494,200
MECHCONF,03,combined,later_break_observed,0.3690672315054523,0.3430281746462146,0.39363504601856414,0.0,0.0,1.0,25494,200
MECHCONF,03,combined,second_renewal_after_later_break_observed,0.1166156742763003,0.10819414123158286,0.12445039367133208,0.0,0.0,1.0,25494,200
MECHCONF,03,A,first_last_daughter_similarity,0.699817738356702,0.6947324892877917,0.7051040026963721,0.7304797542313228,0.37501836581837045,0.9170743400690505,12786,200
MECHCONF,03,A,minimum_pairwise_daughter_similarity,0.6941329382894923,0.688995880176231,0.6995567772035898,0.7249222393704903,0.3716147428234672,0.9106544754138871,12786,200
MECHCONF,03,A,mean_pairwise_daughter_similarity,0.7894505781766651,0.786155370914254,0.7929052474936396,0.8038962298593217,0.593347961842204,0.9349687646476732,12786,200
MECHCONF,03,A,maximum_anchor_similarity,0.6747707603356966,0.6655305483049601,0.6844058381014142,0.7131698890346051,0.3236678370486338,0.9078880668462006,12786,200
MECHCONF,03,A,mean_anchor_similarity,0.5846447720083536,0.5747465227623694,0.5951476194735184,0.6085952653172756,0.25125509893072523,0.8497474340447693,12786,200
MECHCONF,03,A,onset_parent_to_final_daughter_similarity,0.7161845195817935,0.7107727784820137,0.7219842471067497,0.7487768039426985,0.3885805842776691,0.9279347410745027,12786,200
MECHCONF,03,A,observed_inherited_run_length,5.9315657750664785,5.823529718084524,6.0408968586550085,5.0,3.0,11.0,12786,200
MECHCONF,03,A,persistence_5_resolved,0.759545923632611,0.738378226512701,0.7799297362521265,1.0,0.0,1.0,10659,200
MECHCONF,03,A,persistence_5_right_censored,0.166353824495542,0.1578708702402045,0.1756319002753582,0.0,0.0,1.0,12786,200
MECHCONF,03,A,later_break_observed,0.36477397153136243,0.33812740889285375,0.3896613084166146,0.0,0.0,1.0,12786,200
MECHCONF,03,A,second_renewal_after_later_break_observed,0.11747223525731268,0.10848102237851555,0.12636769943309864,0.0,0.0,1.0,12786,200
MECHCONF,03,B,first_last_daughter_similarity,0.7034958310129276,0.6983058468041422,0.7083988806760606,0.7321242120127363,0.3852741209055321,0.9195246002517564,12708,200
