source_cohort,candidate,half,coherence_threshold_strict,distinctness_max_anchor_threshold_inclusive,all_events,persistence_resolved_events,persistence_censored_events,coherent_rate,coherent_ci95_lower,coherent_ci95_upper,coherent_events,coherent_matrices,distinct_rate,distinct_ci95_lower,distinct_ci95_upper,distinct_events,distinct_matrices,coherent_and_distinct_rate,coherent_and_distinct_ci95_lower,coherent_and_distinct_ci95_upper,coherent_and_distinct_events,coherent_and_distinct_matrices,coherent_distinct_and_persistent_5_rate,coherent_distinct_and_persistent_5_ci95_lower,coherent_distinct_and_persistent_5_ci95_upper,coherent_distinct_and_persistent_5_events,coherent_distinct_and_persistent_5_matrices
scaled5,03,A,0.95,0.8,13372,11268,2104,0.010020939276099311,0.007524558768691382,0.012711646314746949,13372,200,0.7004187855219862,0.6816886883545743,0.7182364282628659,13372,200,0.007553096021537541,0.0054156029512798355,0.009951830025318378,13372,200,0.007632232871849485,0.005467950896700343,0.010141741521528861,11268,200
scaled5,03,A,0.975,0.9,13372,11268,2104,0.0013460963206700569,0.000733046475800099,0.002080967968957256,13372,200,0.940397846245887,0.9322585917775194,0.9479720735689752,13372,200,0.001121746933891714,0.0005400769075697798,0.001781864602033627,13372,200,0.0012424565140220093,0.0006052419124488812,0.001975663577932329,11268,200
scaled5,03,A,0.975,0.85,13372,11268,2104,0.0013460963206700569,0.0007286575033522507,0.002068587744382948,13372,200,0.8319623093030213,0.817143069388886,0.8466729924088244,13372,200,0.0009721806760394855,0.000438420445319226,0.0016584328718574647,13372,200,0.0010649627263045794,0.00047292420006030074,0.0017507896895750993,11268,200
scaled5,03,A,0.975,0.8,13372,11268,2104,0.0013460963206700569,0.0007133430713715422,0.0020426967301007703,13372,200,0.7004187855219862,0.6816495807151391,0.7187242107686723,13372,200,0.0009721806760394855,0.0004330887636287151,0.001607820983774296,13372,200,0.0010649627263045794,0.0004671602830640116,0.0017466316334091626,11268,200
scaled5,03,B,0.9,0.9,13299,11151,2148,0.05940296262876908,0.05199207460893296,0.06728809977957287,13299,200,0.9410481991127152,0.9329123867458249,0.9486137512141604,13299,200,0.04887585532746823,0.04240175982942968,0.05593391376460548,13299,200,0.04690162317280961,0.04033200358454022,0.05395324035245758,11151,200
scaled5,03,B,0.9,0.85,13299,11151,2148,0.05940296262876908,0.052199450952258496,0.06758159186476365,13299,200,0.8385592901721934,0.8246859622458018,0.8510188409837093,13299,200,0.04376268892397925,0.03754655920199447,0.050601634669036354,13299,200,0.04143126177024482,0.03544233432693488,0.047752736924103124,11151,200
scaled5,03,B,0.9,0.8,13299,11151,2148,0.05940296262876908,0.05202765016491335,0.0674136549684437,13299,200,0.7047146401985112,0.6861492487283867,0.7220265303138124,13299,200,0.03759681179036018,0.03226435214574269,0.043518918982936486,13299,200,0.035333153977221775,0.029717099899644654,0.041481739816347625,11151,200
scaled5,03,B,0.95,0.9,13299,11151,2148,0.01045191367772013,0.007867587676136207,0.013378869130816894,13299,200,0.9410481991127152,0.9329297425169171,0.9485698717909131,13299,200,0.008948041206105723,0.006614108197416996,0.0118200201823296,13299,200,0.008429737243296565,0.005974610062715984,0.011350170867417369,11151,200
scaled5,03,B,0.95,0.85,13299,11151,2148,0.01045191367772013,0.007867964203368551,0.013401121151039306,13299,200,0.8385592901721934,0.8244652369855457,0.8518034967169478,13299,200,0.00834649221745996,0.00597269146902318,0.011076079432799951,13299,200,0.00771231279705856,0.00533007971766428,0.010443798070916714,11151,200
scaled5,03,B,0.95,0.8,13299,11151,2148,0.01045191367772013,0.007852987534966334,0.013543789240589542,13299,200,0.7047146401985112,0.6865388071160748,0.7222087204365624,13299,200,0.007368975110910595,0.005218916791376245,0.009923482299371122,13299,200,0.006905210295040804,0.004598124327790832,0.009550674576639245,11151,200
scaled5,03,B,0.975,0.9,13299,11151,2148,0.002331002331002331,0.0013222431331508238,0.0034683754347729885,13299,200,0.9410481991127152,0.9326926387833272,0.948280409709301,13299,200,0.0021806150838408903,0.0012653060842481743,0.003234449585841828,13299,200,0.002331629450273518,0.0013182675953211486,0.0035488526597992364,11151,200
scaled5,03,B,0.975,0.85,13299,11151,2148,0.002331002331002331,0.0013568904611711684,0.0034498716102300576,13299,200,0.8385592901721934,0.8248615408396831,0.8518574949888943,13299,200,0.0020302278366794496,0.0011750882398001272,0.003033731008418109,13299,200,0.0021522733387140166,0.0012100120272688923,0.0032070804842467696,11151,200
scaled5,03,B,0.975,0.8,13299,11151,2148,0.002331002331002331,0.0013208804321477793,0.0034311892514411594,13299,200,0.7047146401985112,0.6862169217148192,0.7222179574661662,13299,200,0.0018798405895180089,0.0010227101969562573,0.002843354783479234,13299,200,0.0019729172271545155,0.0010636107896870718,0.0030615174245288367,11151,200
MECHCONF,02,combined,0.9,0.9,22868,18997,3871,0.04748994227741823,0.04139381030999305,0.054239615484679836,22868,200,0.949099177890502,0.9416268082787523,0.9556346032483923,22868,200,0.04141157949973762,0.03571924705259753,0.04761018037372647,22868,200,0.03821656050955414,0.0326139343830923,0.044254175212333845,18997,200
MECHCONF,02,combined,0.9,0.85,22868,18997,3871,0.04748994227741823,0.041334721813000706,0.054162027612930916,22868,200,0.8490904320447787,0.8334199036072457,0.8631768794079876,22868,200,0.03769459506734301,0.03211500336313719,0.04362449405260613,22868,200,0.034426488392904145,0.029253011506849492,0.040198910649674326,18997,200
MECHCONF,02,combined,0.9,0.8,22868,18997,3871,0.04748994227741823,0.04150959138329565,0.05448019571109849,22868,200,0.7146230540493266,0.6932309044049121,0.7345240957879524,22868,200,0.03423998600664684,0.02896257604321721,0.03983765090477599,22868,200,0.031162815181344422,0.026329614391299664,0.03648438748429737,18997,200
MECHCONF,02,combined,0.95,0.9,22868,18997,3871,0.00861465803743222,0.006255377215036431,0.011491388035685356,22868,200,0.949099177890502,0.9421105515084339,0.9554444290933148,22868,200,0.007740073465104075,0.005331048462794784,0.010378958458210876,22868,200,0.0077907037953361055,0.005434433482310911,0.010560460222761825,18997,200
MECHCONF,02,combined,0.95,0.85,22868,18997,3871,0.00861465803743222,0.00613852291425458,0.011494186101930265,22868,200,0.8490904320447787,0.8336668059094499,0.8633539713440376,22868,200,0.007477698093405633,0.005167704437411807,0.01025306786414553,22868,200,0.00747486445228194,0.005151770337677476,0.010169347721823704,18997,200
