substrate,rule,donor_id,donor_kind,intervention,fraction,transmitted_sites,transmitted_live,death_count,success_count,success_rate,observer_success_counts,observer_success_rates,n
eca,18,eca-18-14-46,switcher,shuffled,0.5,32,8,0,2,0.5,"{""multiscale"": 0, ""primary"": 2, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.5, ""raw4"": 0.0}",4
eca,18,eca-18-14-46,switcher,density_random,0.5,32,8,0,1,0.25,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.25, ""raw4"": 0.0}",4
eca,18,eca-18-14-46,switcher,one_interval,0.75,48,13,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,18,eca-18-14-46,switcher,two_interval,0.75,48,11,0,1,0.25,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.25, ""raw4"": 0.0}",4
eca,18,eca-18-14-46,switcher,dispersed,0.75,48,10,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,18,eca-18-14-46,switcher,shuffled,0.75,48,12,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,18,eca-18-14-46,switcher,density_random,0.75,48,13,0,2,0.5,"{""multiscale"": 0, ""primary"": 2, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.5, ""raw4"": 0.0}",4
eca,18,eca-18-15-47,switcher,intact,1.0,64,19,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,18,eca-18-15-47,switcher,ancestor,1.0,64,15,0,1,0.25,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.25, ""raw4"": 0.0}",4
eca,18,eca-18-15-47,switcher,one_interval,0.25,16,6,0,1,0.25,"{""multiscale"": 0, ""primary"": 1, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.25, ""raw4"": 0.0}",4
eca,18,eca-18-15-47,switcher,two_interval,0.25,16,7,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,18,eca-18-15-47,switcher,dispersed,0.25,16,7,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
eca,18,eca-18-15-47,switcher,shuffled,0.25,16,5,0,2,0.5,"{""multiscale"": 0, ""primary"": 2, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.5, ""raw4"": 0.0}",4
eca,18,eca-18-15-47,switcher,density_random,0.25,16,5,0,0,0.0,"{""multiscale"": 0, ""primary"": 0, ""raw4"": 0}","{""multiscale"": 0.0, ""primary"": 0.0, ""raw4"": 0.0}",4
