state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_LOOSEN,q_all_LOOSEN,q_half_A_LOOSEN,q_half_B_LOOSEN,prediction_TIGHTEN,q_all_TIGHTEN,q_half_A_TIGHTEN,q_half_B_TIGHTEN,prediction_GLOBAL_RANDOM_SURGERY,q_all_GLOBAL_RANDOM_SURGERY,q_half_A_GLOBAL_RANDOM_SURGERY,q_half_B_GLOBAL_RANDOM_SURGERY,prediction_THROUGHPUT_NEUTRAL_TOPOLOGY,q_all_THROUGHPUT_NEUTRAL_TOPOLOGY,q_half_A_THROUGHPUT_NEUTRAL_TOPOLOGY,q_half_B_THROUGHPUT_NEUTRAL_TOPOLOGY,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m040-g065,02,40,65,40,21,41,2484,0.6519390506630076,0.875,0.875,0.875,0.5917185360070822,0.578125,0.5625,0.59375,0.6136811867420665,0.78125,0.75,0.8125,0.5978999683738694,0.765625,0.71875,0.8125,0.6241741638380456,0.828125,0.90625,0.75
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m040-g080,02,40,80,40,21,54,3119,0.6948869494355189,0.8125,0.78125,0.84375,0.6205900058790393,0.765625,0.78125,0.75,0.6365784802548818,0.765625,0.75,0.78125,0.6120885530742524,0.75,0.78125,0.71875,0.6636798613195517,0.71875,0.875,0.5625
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m040-g020,03,40,20,36,20,25,719,0.52553457668906,0.4375,0.53125,0.34375,0.39300590941754754,0.421875,0.46875,0.375,0.43560160302921574,0.265625,0.28125,0.25,0.4629176172843487,0.28125,0.28125,0.28125,0.4630841466759583,0.46875,0.59375,0.34375
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m040-g035,03,40,35,39,20,25,1189,0.6460442418621515,0.703125,0.65625,0.75,0.5547247606170087,0.578125,0.5625,0.59375,0.5977078728382076,0.75,0.625,0.875,0.7396703055751292,0.71875,0.65625,0.78125,0.6046164525299428,0.671875,0.5625,0.78125
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m040-g050,03,40,50,44,22,41,1683,0.7540292619066123,0.671875,0.65625,0.6875,0.6699326908192607,0.625,0.65625,0.59375,0.7170222024074726,0.734375,0.78125,0.6875,0.8330455794691957,0.703125,0.65625,0.75,0.7189632646232845,0.671875,0.625,0.71875
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m040-g065,03,40,65,40,23,29,2239,0.6920785369665678,0.5,0.53125,0.46875,0.6058854986658458,0.40625,0.46875,0.34375,0.6462136385582569,0.421875,0.4375,0.40625,0.7697800620227955,0.625,0.71875,0.53125,0.6517302367758104,0.515625,0.53125,0.5
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m040-g080,03,40,80,43,29,58,2924,0.7420124382231166,0.75,0.71875,0.78125,0.691834130913577,0.671875,0.71875,0.625,0.7238745098777285,0.671875,0.625,0.71875,0.9071256549148966,0.890625,0.9375,0.84375,0.7206780651060527,0.828125,0.90625,0.75
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m041-g020,02,41,20,40,13,27,644,0.4734608565433882,0.4375,0.4375,0.4375,0.3997770277354085,0.171875,0.15625,0.1875,0.42353355318146474,0.3125,0.25,0.375,0.4046269461585941,0.359375,0.4375,0.28125,0.4362405008066431,0.328125,0.28125,0.375
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m041-g035,02,41,35,40,17,25,1147,0.18598958198539473,0.171875,0.15625,0.1875,0.13492900698873644,0.140625,0.125,0.15625,0.14278961481360236,0.21875,0.1875,0.25,0.03876216191252352,0.046875,0.0625,0.03125,0.16043952341196865,0.125,0.0625,0.1875
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m041-g050,02,41,50,40,26,31,1607,0.29754740643064775,0.21875,0.25,0.1875,0.22894231329367218,0.359375,0.375,0.34375,0.23633197522044075,0.109375,0.09375,0.125,0.03204578208119232,0.53125,0.5625,0.5,0.26430448266946577,0.3125,0.40625,0.21875
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m041-g065,02,41,65,40,19,24,1990,0.16533908085399834,0.34375,0.3125,0.375,0.10937613029290884,0.015625,0.03125,0.0,0.12966144412403965,0.1875,0.1875,0.1875,0.07177957397873337,0.21875,0.21875,0.21875,0.13704490650348908,0.21875,0.28125,0.15625
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c02-m041-g080,02,41,80,40,14,19,2417,0.07302251677615657,0.359375,0.34375,0.375,0.045026671543491444,0.109375,0.09375,0.125,0.06915853127529066,0.203125,0.3125,0.09375,0.022142547079641084,0.078125,0.125,0.03125,0.05834067825332158,0.3125,0.375,0.25
INTCR4_FIXED_COMPOSITION_BETA_CONFIRMATION_V1-c03-m041-g020,03,41,20,38,14,28,467,0.3088695068799202,0.453125,0.53125,0.375,0.2029868120247791,0.265625,0.375,0.15625,0.25655862963183007,0.46875,0.53125,0.40625,0.25989203707313824,0.578125,0.65625,0.5,0.25705615194683973,0.453125,0.40625,0.5
