state_id,candidate,matrix_id,landmark,mass,occupied_types,previous_growth_steps,cumulative_growth_steps,prediction_MODEL_UP,q_all_MODEL_UP,q_half_A_MODEL_UP,q_half_B_MODEL_UP,prediction_MODEL_DOWN,q_all_MODEL_DOWN,q_half_A_MODEL_DOWN,q_half_B_MODEL_DOWN,prediction_RANDOM,q_all_RANDOM,q_half_A_RANDOM,q_half_B_RANDOM,prediction_NOOP,q_all_NOOP,q_half_A_NOOP,q_half_B_NOOP
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m118-g080,02,118,80,40,11,26,2680,0.14119313331737696,0.265625,0.28125,0.25,0.07849601200628863,0.203125,0.15625,0.25,0.10981567705439466,0.21875,0.25,0.1875,0.11194189209098929,0.15625,0.1875,0.125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m118-g020,03,118,20,42,13,19,533,0.43551424957488977,0.578125,0.59375,0.5625,0.23462320096883896,0.34375,0.3125,0.375,0.3514856018719515,0.546875,0.46875,0.625,0.3276467140904825,0.53125,0.5,0.5625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m118-g035,03,118,35,40,11,16,890,0.14465006328429367,0.203125,0.15625,0.25,0.07043392207247318,0.28125,0.3125,0.25,0.10851252615149458,0.28125,0.1875,0.375,0.10699736166897855,0.1875,0.1875,0.1875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m118-g050,03,118,50,41,25,19,1241,0.5112512280547311,0.6875,0.6875,0.6875,0.26608669272035157,0.53125,0.46875,0.59375,0.33342983646391183,0.453125,0.46875,0.4375,0.3260278608727187,0.390625,0.40625,0.375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m118-g065,03,118,65,40,16,28,1682,0.2767063445020353,0.453125,0.40625,0.5,0.16070514226858282,0.359375,0.46875,0.25,0.1924527515590768,0.421875,0.4375,0.40625,0.19496827895745233,0.265625,0.375,0.15625
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m118-g080,03,118,80,39,14,21,2094,0.5222092747504735,0.453125,0.4375,0.46875,0.32334325406552283,0.265625,0.28125,0.25,0.4788630349592191,0.53125,0.5625,0.5,0.4830933560130747,0.40625,0.34375,0.46875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m119-g020,02,119,20,40,19,38,737,0.47637747032477984,0.4375,0.40625,0.46875,0.29293854778115275,0.3125,0.375,0.25,0.45877877169268083,0.5,0.53125,0.46875,0.4364972670297831,0.5,0.5625,0.4375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m119-g035,02,119,35,40,23,33,1443,0.6120061961911777,0.484375,0.53125,0.4375,0.389585893999708,0.25,0.25,0.25,0.4631901784646567,0.265625,0.25,0.28125,0.45220778348327656,0.28125,0.25,0.3125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m119-g050,02,119,50,40,12,19,2048,0.3105565426185147,0.125,0.125,0.125,0.12136375594550383,0.1875,0.1875,0.1875,0.17026460420640957,0.140625,0.1875,0.09375,0.15718073417820552,0.203125,0.21875,0.1875
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m119-g065,02,119,65,40,15,20,2506,0.36828085969205665,0.390625,0.46875,0.3125,0.16897135727736923,0.21875,0.21875,0.21875,0.24179704151460715,0.28125,0.25,0.3125,0.2241171641157375,0.28125,0.21875,0.34375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m119-g080,02,119,80,40,14,44,3040,0.3985934336528434,0.5,0.375,0.625,0.18066394305940423,0.265625,0.375,0.15625,0.25574426334051176,0.21875,0.15625,0.28125,0.2518338102488546,0.34375,0.40625,0.28125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m119-g020,03,119,20,40,7,13,477,0.13652268512692187,0.484375,0.46875,0.5,0.039834827721595745,0.28125,0.375,0.1875,0.1139735127730039,0.328125,0.28125,0.375,0.11011636723332756,0.34375,0.34375,0.34375
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m119-g035,03,119,35,39,10,13,856,0.23149230646816257,0.484375,0.5625,0.40625,0.06277015489655324,0.21875,0.1875,0.25,0.11550474769070677,0.25,0.15625,0.34375,0.0903272998861277,0.328125,0.40625,0.25
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m119-g050,03,119,50,41,13,19,1310,0.22003943856956132,0.234375,0.25,0.21875,0.0833445543634834,0.21875,0.3125,0.125,0.20949003011240153,0.296875,0.3125,0.28125,0.10940256653069245,0.3125,0.34375,0.28125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m119-g065,03,119,65,35,19,20,1660,0.5420325652901875,0.65625,0.75,0.5625,0.32359961001657617,0.234375,0.1875,0.28125,0.5229114525809192,0.75,0.71875,0.78125,0.4989117262765196,0.578125,0.625,0.53125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m119-g080,03,119,80,42,11,11,2052,0.2661284640982507,0.328125,0.34375,0.3125,0.06994426194341387,0.171875,0.125,0.21875,0.24812642818411104,0.296875,0.1875,0.40625,0.1123487324484452,0.296875,0.34375,0.25
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m120-g020,02,120,20,40,11,26,740,0.25084215822504274,0.046875,0.0625,0.03125,0.15987550778849913,0.0,0.0,0.0,0.2321340096275763,0.0,0.0,0.0,0.21193153721165495,0.0,0.0,0.0
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m120-g035,02,120,35,40,13,23,1086,0.1472686768431335,0.0,0.0,0.0,0.1026555284179746,0.03125,0.03125,0.03125,0.14240585997158645,0.015625,0.0,0.03125,0.12216170156164312,0.0,0.0,0.0
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m120-g050,02,120,50,40,12,18,1451,0.09858878534441932,0.0,0.0,0.0,0.06585190923863946,0.015625,0.0,0.03125,0.0796822502113176,0.0,0.0,0.0,0.07937126618410262,0.015625,0.0,0.03125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m120-g065,02,120,65,40,9,18,1779,0.08109632798600265,0.03125,0.0,0.0625,0.0480108961601723,0.015625,0.03125,0.0,0.0750433926088511,0.0,0.0,0.0,0.06056550589834557,0.015625,0.0,0.03125
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c02-m120-g080,02,120,80,40,12,25,2156,0.08125145995564657,0.0,0.0,0.0,0.05399455132700243,0.0,0.0,0.0,0.07591528577356718,0.0,0.0,0.0,0.06535616416164886,0.0,0.0,0.0
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m120-g020,03,120,20,39,15,12,562,0.22222927442147086,0.03125,0.0,0.0625,0.1671857311002563,0.046875,0.03125,0.0625,0.2060686292416229,0.078125,0.09375,0.0625,0.19190045724618132,0.03125,0.0625,0.0
INTCR1_MODEL_GUIDED_CONFIRMATION_V1-c03-m120-g035,03,120,35,36,13,15,826,0.1858875304277625,0.015625,0.03125,0.0,0.13056419084363088,0.015625,0.0,0.03125,0.15521693305310733,0.015625,0.03125,0.0,0.157633401410464,0.0,0.0,0.0
