pair_id,condition,generation,observer,p_a_given_a,p_a_given_b,p_b_given_a,p_b_given_b,direction_a,direction_b,crossover,correct,resolved,survival
fresh-3-6ca62bf95c11525e,carrier_corruption_1,16,primary,0.453125,0.4375,0.265625,0.203125,0.015625,-0.0625,-0.0625,0.328125,0.6796875,1.0
fresh-3-6ca62bf95c11525e,carrier_corruption_1,16,terminal,0.359375,0.40625,0.28125,0.265625,-0.046875,-0.015625,-0.046875,0.3125,0.65625,1.0
fresh-3-6ca62bf95c11525e,carrier_corruption_1,2,primary,0.515625,0.3125,0.21875,0.46875,0.203125,0.25,0.203125,0.4921875,0.7578125,1.0
fresh-3-6ca62bf95c11525e,carrier_corruption_1,2,terminal,0.421875,0.265625,0.234375,0.484375,0.15625,0.25,0.15625,0.453125,0.703125,1.0
fresh-3-6ca62bf95c11525e,carrier_corruption_1,4,primary,0.421875,0.40625,0.3125,0.40625,0.015625,0.09375,0.015625,0.4140625,0.7734375,1.0
fresh-3-6ca62bf95c11525e,carrier_corruption_1,4,terminal,0.3125,0.328125,0.34375,0.390625,-0.015625,0.046875,-0.015625,0.3515625,0.6875,1.0
fresh-3-6ca62bf95c11525e,carrier_corruption_1,8,primary,0.484375,0.4375,0.3125,0.3125,0.046875,0.0,0.0,0.3984375,0.7734375,1.0
fresh-3-6ca62bf95c11525e,carrier_corruption_1,8,terminal,0.4375,0.3125,0.375,0.375,0.125,0.0,0.0,0.40625,0.75,1.0
fresh-3-6ca62bf95c11525e,founder_write_disabled,1,primary,0.125,0.125,0.625,0.625,0.0,0.0,0.0,0.375,0.75,1.0
fresh-3-6ca62bf95c11525e,founder_write_disabled,1,terminal,0.09375,0.09375,0.65625,0.65625,0.0,0.0,0.0,0.375,0.75,1.0
fresh-3-6ca62bf95c11525e,founder_write_disabled,16,primary,0.40625,0.40625,0.328125,0.328125,0.0,0.0,0.0,0.3671875,0.734375,1.0
fresh-3-6ca62bf95c11525e,founder_write_disabled,16,terminal,0.34375,0.34375,0.34375,0.34375,0.0,0.0,0.0,0.34375,0.6875,1.0
fresh-3-6ca62bf95c11525e,founder_write_disabled,2,primary,0.296875,0.296875,0.40625,0.40625,0.0,0.0,0.0,0.3515625,0.703125,1.0
fresh-3-6ca62bf95c11525e,founder_write_disabled,2,terminal,0.25,0.25,0.40625,0.40625,0.0,0.0,0.0,0.328125,0.65625,1.0
fresh-3-6ca62bf95c11525e,founder_write_disabled,4,primary,0.34375,0.34375,0.34375,0.34375,0.0,0.0,0.0,0.34375,0.6875,1.0
fresh-3-6ca62bf95c11525e,founder_write_disabled,4,terminal,0.296875,0.296875,0.34375,0.34375,0.0,0.0,0.0,0.3203125,0.640625,1.0
fresh-3-6ca62bf95c11525e,founder_write_disabled,8,primary,0.296875,0.296875,0.390625,0.390625,0.0,0.0,0.0,0.34375,0.6875,1.0
fresh-3-6ca62bf95c11525e,founder_write_disabled,8,terminal,0.25,0.25,0.453125,0.453125,0.0,0.0,0.0,0.3515625,0.703125,1.0
fresh-3-6ca62bf95c11525e,intact,1,primary,0.828125,0.125,0.03125,0.65625,0.703125,0.625,0.625,0.7421875,0.8203125,1.0
fresh-3-6ca62bf95c11525e,intact,1,terminal,0.75,0.09375,0.0625,0.6875,0.65625,0.625,0.625,0.71875,0.796875,1.0
fresh-3-6ca62bf95c11525e,intact,16,primary,0.421875,0.421875,0.390625,0.3125,0.0,-0.078125,-0.078125,0.3671875,0.7734375,1.0
fresh-3-6ca62bf95c11525e,intact,16,terminal,0.328125,0.34375,0.375,0.328125,-0.015625,-0.046875,-0.046875,0.328125,0.6875,1.0
