candidate_id,environment,condition,generation,primary_mean,primary_ci_low,primary_ci_high,terminal_mean,survival_mean,n_pairs
pca-r008-q04,ordinary,rescue_same_enter_g4,4,0.857177734375,0.817626953125,0.8891613769531252,0.8568115234375,1.0,128
pca-r008-q04,ordinary,rescue_same_enter_g4,8,0.765869140625,0.73095703125,0.7955328369140626,0.7666015625,1.0,128
pca-r008-q04,ordinary,rescue_same_enter_g4,16,0.6199951171875,0.5866696166992188,0.6477056884765626,0.61962890625,1.0,128
pca-r008-q04,ordinary,rescue_opposite_enter_g4,1,0.9288330078125,0.8803701782226563,0.965087890625,0.9239501953125,1.0,128
pca-r008-q04,ordinary,rescue_opposite_enter_g4,2,0.9029541015625,0.8614498901367188,0.9370123291015626,0.899169921875,1.0,128
pca-r008-q04,ordinary,rescue_opposite_enter_g4,4,-0.8876953125,-0.9168704223632812,-0.8504638671875,-0.88720703125,1.0,128
pca-r008-q04,ordinary,rescue_opposite_enter_g4,8,-0.791015625,-0.8209228515625,-0.7539053344726561,-0.7921142578125,1.0,128
pca-r008-q04,ordinary,rescue_opposite_enter_g4,16,-0.642333984375,-0.671630859375,-0.6107177734375,-0.6431884765625,1.0,128
pca-r008-q04,ordinary,opposite_founder,1,-0.9642333984375,-0.9884033203125,-0.929443359375,-0.9630126953125,1.0,128
pca-r008-q04,ordinary,opposite_founder,2,-0.93798828125,-0.9647216796875,-0.9008786010742187,-0.9373779296875,1.0,128
pca-r008-q04,ordinary,opposite_founder,4,-0.8876953125,-0.917236328125,-0.8524166870117187,-0.88720703125,1.0,128
pca-r008-q04,ordinary,opposite_founder,8,-0.791015625,-0.82177734375,-0.7550039672851561,-0.7921142578125,1.0,128
pca-r008-q04,ordinary,opposite_founder,16,-0.642333984375,-0.6695565795898437,-0.6096188354492187,-0.6431884765625,1.0,128
pca-r008-q04,ordinary,latent_corruption_1,1,0.9095458984375,0.8624267578125,0.9459228515625,0.904052734375,1.0,128
pca-r008-q04,ordinary,latent_corruption_1,2,0.8699951171875,0.8292230224609375,0.9049081420898439,0.866455078125,1.0,128
pca-r008-q04,ordinary,latent_corruption_1,4,0.793701171875,0.756103515625,0.8258056640625,0.793701171875,1.0,128
pca-r008-q04,ordinary,latent_corruption_1,8,0.6505126953125,0.6164547729492188,0.6807861328125,0.6512451171875,1.0,128
pca-r008-q04,ordinary,latent_corruption_1,16,0.44970703125,0.4213861083984375,0.4766851806640626,0.4510498046875,1.0,128
pca-r008-q04,moderate_joint,intact,1,0.740478515625,0.6979977416992188,0.7753915405273439,0.7344970703125,1.0,128
pca-r008-q04,moderate_joint,intact,2,0.5709228515625,0.5368649291992188,0.6011975097656252,0.567138671875,1.0,128
