ambiguous_boundaries,completed_boundaries,model,occupancy_exceeded,parameter_key,passed,seed_index,total_updates
1,1,evoloop,False,"n=8,imm=0.25",False,15,899
1,1,evoloop,False,"n=8,imm=0.5",False,0,899
1,1,evoloop,False,"n=8,imm=0.5",False,1,830
0,1,evoloop,False,"n=8,imm=0.5",False,2,773
1,1,evoloop,False,"n=8,imm=0.5",False,3,884
1,0,evoloop,False,"n=8,imm=0.5",False,4,378
1,0,evoloop,False,"n=8,imm=0.5",False,5,548
1,1,evoloop,False,"n=8,imm=0.5",False,6,899
1,1,evoloop,False,"n=8,imm=0.5",False,7,899
1,0,evoloop,False,"n=8,imm=0.5",False,8,642
1,2,evoloop,False,"n=8,imm=0.5",False,9,1428
1,1,evoloop,False,"n=8,imm=0.5",False,10,822
1,1,evoloop,False,"n=8,imm=0.5",False,11,899
1,1,evoloop,False,"n=8,imm=0.5",False,12,899
1,0,evoloop,False,"n=8,imm=0.5",False,13,625
1,0,evoloop,False,"n=8,imm=0.5",False,14,588
1,0,evoloop,False,"n=8,imm=0.5",False,15,616
1,0,evoloop,False,"n=8,imm=1",False,0,612
1,0,evoloop,False,"n=8,imm=1",False,1,362
1,1,evoloop,False,"n=8,imm=1",False,2,927
0,3,evoloop,False,"n=8,imm=1",False,3,2347
1,0,evoloop,False,"n=8,imm=1",False,4,544
0,2,evoloop,False,"n=8,imm=1",False,5,1294
1,1,evoloop,False,"n=8,imm=1",False,6,899
1,1,evoloop,False,"n=8,imm=1",False,7,870
0,1,evoloop,False,"n=8,imm=1",False,8,1077
1,1,evoloop,False,"n=8,imm=1",False,9,867
1,0,evoloop,False,"n=8,imm=1",False,10,345
1,1,evoloop,False,"n=8,imm=1",False,11,864
1,1,evoloop,False,"n=8,imm=1",False,12,899
0,1,evoloop,False,"n=8,imm=1",False,13,817
1,0,evoloop,False,"n=8,imm=1",False,14,436
0,0,evoloop,False,"n=8,imm=1",False,15,68
0,3,protocell,False,"py=1e-01,ay=1e-02",False,0,632
0,0,protocell,False,"py=1e-01,ay=1e-02",False,1,96
0,0,protocell,False,"py=1e-01,ay=1e-02",False,2,12
0,0,protocell,False,"py=1e-01,ay=1e-02",False,3,36
0,0,protocell,False,"py=1e-01,ay=1e-02",False,4,20
0,5,protocell,False,"py=1e-01,ay=1e-02",False,5,644
0,0,protocell,False,"py=1e-01,ay=1e-02",False,6,4
0,0,protocell,False,"py=1e-01,ay=1e-02",False,7,92
0,0,protocell,False,"py=1e-01,ay=1e-02",False,8,24
0,0,protocell,False,"py=1e-01,ay=1e-02",False,9,4
0,0,protocell,False,"py=1e-01,ay=1e-02",False,10,260
0,0,protocell,False,"py=1e-01,ay=1e-02",False,11,64
0,0,protocell,False,"py=1e-01,ay=1e-02",False,12,204
0,2,protocell,False,"py=1e-01,ay=1e-02",False,13,564
0,0,protocell,False,"py=1e-01,ay=1e-02",False,14,28
0,9,protocell,False,"py=1e-01,ay=1e-02",False,15,1996
0,20,protocell,False,"py=1e-01,ay=1e-03",True,0,1548
0,20,protocell,False,"py=1e-01,ay=1e-03",True,1,2092
0,20,protocell,False,"py=1e-01,ay=1e-03",True,2,2180
0,20,protocell,False,"py=1e-01,ay=1e-03",True,3,1860
0,20,protocell,False,"py=1e-01,ay=1e-03",True,4,1956
0,20,protocell,False,"py=1e-01,ay=1e-03",True,5,1996
0,20,protocell,False,"py=1e-01,ay=1e-03",True,6,1948
0,20,protocell,False,"py=1e-01,ay=1e-03",True,7,1828
0,20,protocell,False,"py=1e-01,ay=1e-03",True,8,1920
0,20,protocell,False,"py=1e-01,ay=1e-03",True,9,2020
0,20,protocell,False,"py=1e-01,ay=1e-03",True,10,1800
0,0,protocell,False,"py=1e-01,ay=1e-03",False,11,16
0,20,protocell,False,"py=1e-01,ay=1e-03",True,12,1616
0,20,protocell,False,"py=1e-01,ay=1e-03",True,13,1868
0,20,protocell,False,"py=1e-01,ay=1e-03",True,14,2104
0,20,protocell,False,"py=1e-01,ay=1e-03",True,15,1948
0,20,protocell,False,"py=1e-01,ay=1e-04",True,0,1732
0,20,protocell,False,"py=1e-01,ay=1e-04",True,1,1488
0,20,protocell,False,"py=1e-01,ay=1e-04",True,2,1700
0,20,protocell,False,"py=1e-01,ay=1e-04",True,3,1692
0,20,protocell,False,"py=1e-01,ay=1e-04",True,4,1504
0,20,protocell,False,"py=1e-01,ay=1e-04",True,5,1632
0,20,protocell,False,"py=1e-01,ay=1e-04",True,6,1824
0,20,protocell,False,"py=1e-01,ay=1e-04",True,7,1848
0,20,protocell,False,"py=1e-01,ay=1e-04",True,8,1748
0,20,protocell,False,"py=1e-01,ay=1e-04",True,9,1752
0,20,protocell,False,"py=1e-01,ay=1e-04",True,10,1524
0,20,protocell,False,"py=1e-01,ay=1e-04",True,11,1740
0,20,protocell,False,"py=1e-01,ay=1e-04",True,12,1620
0,20,protocell,False,"py=1e-01,ay=1e-04",True,13,1736
0,20,protocell,False,"py=1e-01,ay=1e-04",True,14,1824
0,20,protocell,False,"py=1e-01,ay=1e-04",True,15,1508
0,20,protocell,False,"py=1e-01,ay=1e-05",True,0,2020
0,20,protocell,False,"py=1e-01,ay=1e-05",True,1,1964
0,20,protocell,False,"py=1e-01,ay=1e-05",True,2,1616
0,20,protocell,False,"py=1e-01,ay=1e-05",True,3,1876
0,20,protocell,False,"py=1e-01,ay=1e-05",True,4,1768
0,20,protocell,False,"py=1e-01,ay=1e-05",True,5,1652
0,20,protocell,False,"py=1e-01,ay=1e-05",True,6,1660
0,20,protocell,False,"py=1e-01,ay=1e-05",True,7,1728
0,20,protocell,False,"py=1e-01,ay=1e-05",True,8,1768
0,20,protocell,False,"py=1e-01,ay=1e-05",True,9,1676
0,20,protocell,False,"py=1e-01,ay=1e-05",True,10,1756
0,20,protocell,False,"py=1e-01,ay=1e-05",True,11,1664
0,20,protocell,False,"py=1e-01,ay=1e-05",True,12,2076
0,20,protocell,False,"py=1e-01,ay=1e-05",True,13,1728
0,20,protocell,False,"py=1e-01,ay=1e-05",True,14,1576
0,20,protocell,False,"py=1e-01,ay=1e-05",True,15,1608
0,20,protocell,False,"py=1e-01,ay=1e-06",True,0,1936
0,20,protocell,False,"py=1e-01,ay=1e-06",True,1,1644
0,20,protocell,False,"py=1e-01,ay=1e-06",True,2,1568
0,20,protocell,False,"py=1e-01,ay=1e-06",True,3,1700
0,20,protocell,False,"py=1e-01,ay=1e-06",True,4,1784
0,20,protocell,False,"py=1e-01,ay=1e-06",True,5,1896
0,20,protocell,False,"py=1e-01,ay=1e-06",True,6,1536
