candidate,matrix_id,setting_id,arm,n_futures,horizon,terminal8_f16,terminal8_f32,terminal8_f64,capture_any_f16,capture_any_f32,capture_any_f64,arrival_f16,occupancy,maximum_residence,departed,reentered,extinction,final_target_h,carrier_target_h
03,32,k008_l08_u2p0_ideal,native_no_carrier,48,64,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.9166666666666666,0.7243050152607324,4.541666666666667,1.0,0.020833333333333332,0.0,0.7328999710474035,0.0
03,32,k008_l08_u2p0_ideal,native_random_mask,48,64,0.020833333333333332,0.0,0.0,0.041666666666666664,0.041666666666666664,0.125,0.9791666666666666,0.7857999781240727,8.145833333333334,1.0,0.125,0.0,0.7829341368876213,0.8848129203745115
03,32,k008_l08_u2p0_ideal,joint_relabel_correct,48,64,0.0,0.0,0.041666666666666664,0.0,0.020833333333333332,0.08333333333333333,0.9583333333333334,0.7820054393224222,7.541666666666667,1.0,0.08333333333333333,0.0,0.8614675323121243,0.9133574958565873
03,45,k008_l08_u2p0_ideal,native_correct,48,64,0.0,0.0,0.0,0.041666666666666664,0.125,0.14583333333333334,1.0,0.5930276674683806,6.291666666666667,1.0,0.10416666666666667,0.0,0.46566115094006677,0.5483895308588145
03,45,k008_l08_u2p0_ideal,stranger_correct,48,64,0.0625,0.0,0.0,0.10416666666666667,0.22916666666666666,0.25,0.8958333333333334,0.573358858648088,6.125,1.0,0.25,0.0,0.43091684203306774,0.5667222738572191
03,45,k008_l08_u2p0_ideal,stranger_zero,48,64,0.0,0.0,0.0,0.0,0.020833333333333332,0.0625,0.8541666666666666,0.655533845399217,4.875,1.0,0.0625,0.0,0.715150776616485,0.0
03,45,k008_l08_u2p0_ideal,stranger_shuffled,48,64,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.08333333333333333,0.9166666666666666,0.6844022128436801,6.020833333333333,1.0,0.08333333333333333,0.0,0.6812590737750592,0.07264375292180732
03,45,k008_l08_u2p0_ideal,native_zero,48,64,0.0,0.0,0.0,0.0,0.020833333333333332,0.0625,1.0,0.7188304072167342,5.666666666666667,1.0,0.0625,0.0,0.7087085012443133,0.0
03,45,k008_l08_u2p0_ideal,native_shuffled,48,64,0.020833333333333332,0.0,0.0,0.08333333333333333,0.14583333333333334,0.14583333333333334,0.9791666666666666,0.7305970075782966,6.416666666666667,1.0,0.10416666666666667,0.0,0.6610843939558594,0.07264375292180732
03,45,k008_l08_u2p0_ideal,native_reader_off,48,64,0.0,0.0,0.0,0.0,0.020833333333333332,0.0625,1.0,0.7188304072167342,5.666666666666667,1.0,0.0625,0.0,0.7087085012443133,0.8349179616026348
03,45,k008_l08_u2p0_ideal,native_founder_writer_off,48,64,0.0,0.0,0.0,0.041666666666666664,0.0625,0.10416666666666667,1.0,0.5687063944528115,4.958333333333333,1.0,0.08333333333333333,0.0,0.478357203765255,0.5499582113974752
