candidate,matrix_id,setting_id,arm,n_futures,horizon,terminal8_f16,terminal8_f32,terminal8_f64,capture_any_f32,occupancy,origin_correct,carrier_origin_correct,final_target_h,final_other_h,extinction
02,72,k008_l01_u2p0_nominal,state_a_carrier_b,48,64,0.0,0.0,0.0,0.0625,0.13275895439256782,0.1875,0.20833333333333334,0.1620234799808567,0.753327100009611,0.0
02,72,k008_l01_u2p0_nominal,state_b_carrier_a,48,64,0.20833333333333334,0.375,0.4375,0.6041666666666666,0.5885236636867847,0.7916666666666666,0.7708333333333334,0.7381730538003151,0.18112679716398095,0.0
02,72,k008_l01_u2p0_nominal,state_b_carrier_b,48,64,0.0,0.0,0.020833333333333332,0.1875,0.29151815448524937,0.20833333333333334,0.16666666666666666,0.19074924092341572,0.7666257018102591,0.0
02,112,k008_l01_u2p0_nominal,state_a_carrier_a,48,64,0.0,0.0,0.0,0.0625,0.4444407532767256,0.375,0.041666666666666664,0.2932286269595282,0.48277941438730276,0.0
02,112,k008_l01_u2p0_nominal,state_a_carrier_b,48,64,0.0,0.0,0.0,0.0,0.4555526550668108,0.6666666666666666,0.8541666666666666,0.5030245661417162,0.29795011408860866,0.0
02,112,k008_l01_u2p0_nominal,state_b_carrier_a,48,64,0.020833333333333332,0.0,0.0,0.041666666666666664,0.26697619502008285,0.4166666666666667,0.08333333333333333,0.31717066700397656,0.4851350443287501,0.0
02,112,k008_l01_u2p0_nominal,state_b_carrier_b,48,64,0.0,0.0,0.0,0.0625,0.6142045991667354,0.6458333333333334,0.9375,0.5812537955380123,0.3497672220536141,0.0
02,148,k008_l01_u2p0_nominal,state_a_carrier_a,48,64,0.0,0.0,0.0,0.020833333333333332,0.30257993241257847,0.3541666666666667,0.7916666666666666,0.23602138740875747,0.24818560629049444,0.0
02,148,k008_l01_u2p0_nominal,state_a_carrier_b,48,64,0.0,0.0,0.0,0.0,0.2282521634690459,0.5208333333333334,0.1875,0.19904959896643967,0.2766062556450216,0.0
02,148,k008_l01_u2p0_nominal,state_b_carrier_a,48,64,0.0,0.0,0.0,0.0,0.24457488595990604,0.3958333333333333,0.8125,0.17898590309679238,0.2347461416708735,0.0
02,148,k008_l01_u2p0_nominal,state_b_carrier_b,48,64,0.0,0.0,0.0,0.020833333333333332,0.3399348755438003,0.5,0.16666666666666666,0.24266279399977994,0.2850825557127417,0.0
02,159,k008_l01_u2p0_nominal,state_a_carrier_a,48,64,0.0,0.0,0.0,0.08333333333333333,0.4659599929543945,0.7916666666666666,0.8333333333333334,0.4759661338899739,0.08419946326859336,0.0
02,159,k008_l01_u2p0_nominal,state_a_carrier_b,48,64,0.0,0.0,0.0,0.0,0.10988400560242535,0.22916666666666666,0.20833333333333334,0.10639284553643698,0.43892481569348146,0.0
02,159,k008_l01_u2p0_nominal,state_b_carrier_a,48,64,0.0,0.020833333333333332,0.0,0.08333333333333333,0.4194043059768853,0.7083333333333334,0.7083333333333334,0.4549973463239705,0.14559178048891244,0.0
02,159,k008_l01_u2p0_nominal,state_b_carrier_b,48,64,0.0,0.0,0.0,0.0,0.15303198785711844,0.22916666666666666,0.1875,0.12961877340849398,0.4739961803666799,0.0
02,161,k008_l01_u2p0_nominal,state_a_carrier_a,48,64,0.020833333333333332,0.041666666666666664,0.0625,0.3333333333333333,0.47532477235156295,0.4166666666666667,0.4166666666666667,0.3933855769984647,0.48950576398199913,0.0
02,161,k008_l01_u2p0_nominal,state_a_carrier_b,48,64,0.020833333333333332,0.0,0.0,0.0625,0.3824450238825918,0.4166666666666667,0.4583333333333333,0.35157916901606096,0.4910137894325695,0.0
